Epoch: 0,	Training loss (MRSE): 0.818481	,Validation loss (MRSE): 0.843887	,Training loss (MSE): 2.87258e+17	,Validation loss (MSE): 1.50742e+14	,Training accuracy (MAE): -1.02605e+08	,Validation accuracy (MAE): -8.28723e+06	,Training accuracy (MRAE): 0.128242	,Validation accuracy (MRAE): 0.105946
Epoch: 11,	Training loss (MRSE): 0.812655	,Validation loss (MRSE): 0.770488	,Training loss (MSE): 1.06274e+17	,Validation loss (MSE): 4.07523e+15	,Training accuracy (MAE): -7.18346e+07	,Validation accuracy (MAE): -2.22262e+07	,Training accuracy (MRAE): 0.126469	,Validation accuracy (MRAE): 0.152645
Epoch: 12,	Training loss (MRSE): 0.815327	,Validation loss (MRSE): 0.801551	,Training loss (MSE): 6.83822e+16	,Validation loss (MSE): 1.39454e+16	,Training accuracy (MAE): -5.60671e+07	,Validation accuracy (MAE): -3.18734e+07	,Training accuracy (MRAE): 0.119108	,Validation accuracy (MRAE): 0.122957
Epoch: 13,	Training loss (MRSE): 0.806816	,Validation loss (MRSE): 0.793478	,Training loss (MSE): 2.47826e+16	,Validation loss (MSE): 4.19555e+15	,Training accuracy (MAE): -4.24596e+07	,Validation accuracy (MAE): -2.17477e+07	,Training accuracy (MRAE): 0.132892	,Validation accuracy (MRAE): 0.144924
Epoch: 14,	Training loss (MRSE): 0.805726	,Validation loss (MRSE): 0.820196	,Training loss (MSE): 8.46823e+16	,Validation loss (MSE): 8.34268e+15	,Training accuracy (MAE): -6.99303e+07	,Validation accuracy (MAE): -2.67703e+07	,Training accuracy (MRAE): 0.128797	,Validation accuracy (MRAE): 0.113341
Epoch: 15,	Training loss (MRSE): 0.807193	,Validation loss (MRSE): 0.845843	,Training loss (MSE): 1.24771e+17	,Validation loss (MSE): 6.43491e+14	,Training accuracy (MAE): -7.98983e+07	,Validation accuracy (MAE): -1.23484e+07	,Training accuracy (MRAE): 0.127737	,Validation accuracy (MRAE): 0.103238
Epoch: 16,	Training loss (MRSE): 0.810959	,Validation loss (MRSE): 0.834739	,Training loss (MSE): 9.13854e+16	,Validation loss (MSE): 1.05831e+15	,Training accuracy (MAE): -7.18114e+07	,Validation accuracy (MAE): -1.78984e+07	,Training accuracy (MRAE): 0.124433	,Validation accuracy (MRAE): 0.111264
Epoch: 17,	Training loss (MRSE): 0.802067	,Validation loss (MRSE): 0.821031	,Training loss (MSE): 2.59153e+16	,Validation loss (MSE): 2.34536e+15	,Training accuracy (MAE): -4.26511e+07	,Validation accuracy (MAE): -2.08671e+07	,Training accuracy (MRAE): 0.135886	,Validation accuracy (MRAE): 0.117276
Epoch: 18,	Training loss (MRSE): 0.802303	,Validation loss (MRSE): 0.783726	,Training loss (MSE): 4.55362e+15	,Validation loss (MSE): 1.17755e+16	,Training accuracy (MAE): -2.20494e+07	,Validation accuracy (MAE): -3.32436e+07	,Training accuracy (MRAE): 0.137512	,Validation accuracy (MRAE): 0.156883
Epoch: 19,	Training loss (MRSE): 0.78951	,Validation loss (MRSE): 0.784853	,Training loss (MSE): 1.76741e+15	,Validation loss (MSE): 6.5058e+15	,Training accuracy (MAE): -1.68371e+07	,Validation accuracy (MAE): -2.58464e+07	,Training accuracy (MRAE): 0.151065	,Validation accuracy (MRAE): 0.147078
Epoch: 20,	Training loss (MRSE): 0.783438	,Validation loss (MRSE): 0.787166	,Training loss (MSE): 3.16278e+15	,Validation loss (MSE): 2.4554e+15	,Training accuracy (MAE): -1.9083e+07	,Validation accuracy (MAE): -1.6848e+07	,Training accuracy (MRAE): 0.152077	,Validation accuracy (MRAE): 0.14163
Epoch: 21,	Training loss (MRSE): 0.769006	,Validation loss (MRSE): 0.771823	,Training loss (MSE): 1.8961e+15	,Validation loss (MSE): 3.20468e+15	,Training accuracy (MAE): -1.52152e+07	,Validation accuracy (MAE): -1.88149e+07	,Training accuracy (MRAE): 0.172291	,Validation accuracy (MRAE): 0.159922
Epoch: 22,	Training loss (MRSE): 0.761822	,Validation loss (MRSE): 0.790712	,Training loss (MSE): 8.94061e+14	,Validation loss (MSE): 1.89707e+15	,Training accuracy (MAE): -1.11903e+07	,Validation accuracy (MAE): -1.46304e+07	,Training accuracy (MRAE): 0.176704	,Validation accuracy (MRAE): 0.140271
Epoch: 23,	Training loss (MRSE): 0.757938	,Validation loss (MRSE): 0.797008	,Training loss (MSE): 2.9523e+15	,Validation loss (MSE): 1.09634e+15	,Training accuracy (MAE): -1.59459e+07	,Validation accuracy (MAE): -1.14048e+07	,Training accuracy (MRAE): 0.175869	,Validation accuracy (MRAE): 0.134618
Epoch: 24,	Training loss (MRSE): 0.756955	,Validation loss (MRSE): 0.802264	,Training loss (MSE): 9.94601e+14	,Validation loss (MSE): 8.67948e+14	,Training accuracy (MAE): -1.10662e+07	,Validation accuracy (MAE): -1.05843e+07	,Training accuracy (MRAE): 0.177358	,Validation accuracy (MRAE): 0.129276
Epoch: 25,	Training loss (MRSE): 0.756689	,Validation loss (MRSE): 0.802134	,Training loss (MSE): 5.10252e+14	,Validation loss (MSE): 8.63267e+14	,Training accuracy (MAE): -8.92139e+06	,Validation accuracy (MAE): -1.05599e+07	,Training accuracy (MRAE): 0.17668	,Validation accuracy (MRAE): 0.127139
Epoch: 26,	Training loss (MRSE): 0.750346	,Validation loss (MRSE): 0.803854	,Training loss (MSE): 3.23403e+15	,Validation loss (MSE): 5.95056e+14	,Training accuracy (MAE): -1.34535e+07	,Validation accuracy (MAE): -9.13928e+06	,Training accuracy (MRAE): 0.177494	,Validation accuracy (MRAE): 0.125655
Epoch: 27,	Training loss (MRSE): 0.74702	,Validation loss (MRSE): 0.80002	,Training loss (MSE): 9.59878e+14	,Validation loss (MSE): 5.57765e+14	,Training accuracy (MAE): -9.55198e+06	,Validation accuracy (MAE): -9.01784e+06	,Training accuracy (MRAE): 0.185331	,Validation accuracy (MRAE): 0.132269
Epoch: 28,	Training loss (MRSE): 0.74389	,Validation loss (MRSE): 0.800421	,Training loss (MSE): 6.56823e+14	,Validation loss (MSE): 5.26319e+14	,Training accuracy (MAE): -8.79132e+06	,Validation accuracy (MAE): -8.75425e+06	,Training accuracy (MRAE): 0.183178	,Validation accuracy (MRAE): 0.1352
Epoch: 29,	Training loss (MRSE): 0.741607	,Validation loss (MRSE): 0.792791	,Training loss (MSE): 2.36154e+14	,Validation loss (MSE): 4.31654e+14	,Training accuracy (MAE): -6.4842e+06	,Validation accuracy (MAE): -8.13741e+06	,Training accuracy (MRAE): 0.184703	,Validation accuracy (MRAE): 0.145879
Epoch: 30,	Training loss (MRSE): 0.740068	,Validation loss (MRSE): 0.787618	,Training loss (MSE): 5.45458e+14	,Validation loss (MSE): 3.81491e+14	,Training accuracy (MAE): -8.40092e+06	,Validation accuracy (MAE): -7.79733e+06	,Training accuracy (MRAE): 0.182871	,Validation accuracy (MRAE): 0.147988
Epoch: 31,	Training loss (MRSE): 0.736344	,Validation loss (MRSE): 0.779972	,Training loss (MSE): 3.78606e+14	,Validation loss (MSE): 3.55131e+14	,Training accuracy (MAE): -7.58501e+06	,Validation accuracy (MAE): -7.65286e+06	,Training accuracy (MRAE): 0.188072	,Validation accuracy (MRAE): 0.156606
Epoch: 32,	Training loss (MRSE): 0.731601	,Validation loss (MRSE): 0.776459	,Training loss (MSE): 3.01844e+14	,Validation loss (MSE): 3.69547e+14	,Training accuracy (MAE): -6.97912e+06	,Validation accuracy (MAE): -7.86478e+06	,Training accuracy (MRAE): 0.192141	,Validation accuracy (MRAE): 0.161036
Epoch: 33,	Training loss (MRSE): 0.727024	,Validation loss (MRSE): 0.774245	,Training loss (MSE): 8.37413e+13	,Validation loss (MSE): 3.22139e+14	,Training accuracy (MAE): -4.88548e+06	,Validation accuracy (MAE): -7.48609e+06	,Training accuracy (MRAE): 0.196346	,Validation accuracy (MRAE): 0.161506
Epoch: 34,	Training loss (MRSE): 0.723721	,Validation loss (MRSE): 0.773473	,Training loss (MSE): 2.86865e+14	,Validation loss (MSE): 3.10169e+14	,Training accuracy (MAE): -6.84249e+06	,Validation accuracy (MAE): -7.41752e+06	,Training accuracy (MRAE): 0.197587	,Validation accuracy (MRAE): 0.161313
Epoch: 35,	Training loss (MRSE): 0.722323	,Validation loss (MRSE): 0.773463	,Training loss (MSE): 3.21599e+14	,Validation loss (MSE): 3.15386e+14	,Training accuracy (MAE): -6.95675e+06	,Validation accuracy (MAE): -7.49883e+06	,Training accuracy (MRAE): 0.200891	,Validation accuracy (MRAE): 0.163589
Epoch: 36,	Training loss (MRSE): 0.723373	,Validation loss (MRSE): 0.768607	,Training loss (MSE): 1.67529e+14	,Validation loss (MSE): 3.49783e+14	,Training accuracy (MAE): -5.68521e+06	,Validation accuracy (MAE): -7.84932e+06	,Training accuracy (MRAE): 0.202991	,Validation accuracy (MRAE): 0.172991
Epoch: 37,	Training loss (MRSE): 0.717917	,Validation loss (MRSE): 0.769098	,Training loss (MSE): 8.41858e+14	,Validation loss (MSE): 3.17457e+14	,Training accuracy (MAE): -7.74658e+06	,Validation accuracy (MAE): -7.51246e+06	,Training accuracy (MRAE): 0.205966	,Validation accuracy (MRAE): 0.17041
Epoch: 38,	Training loss (MRSE): 0.717704	,Validation loss (MRSE): 0.769171	,Training loss (MSE): 9.67805e+14	,Validation loss (MSE): 3.14629e+14	,Training accuracy (MAE): -7.60081e+06	,Validation accuracy (MAE): -7.60823e+06	,Training accuracy (MRAE): 0.210501	,Validation accuracy (MRAE): 0.169541
Epoch: 39,	Training loss (MRSE): 0.713753	,Validation loss (MRSE): 0.76133	,Training loss (MSE): 3.35967e+14	,Validation loss (MSE): 3.37642e+14	,Training accuracy (MAE): -6.74437e+06	,Validation accuracy (MAE): -7.76265e+06	,Training accuracy (MRAE): 0.216436	,Validation accuracy (MRAE): 0.185497
Epoch: 40,	Training loss (MRSE): 0.708908	,Validation loss (MRSE): 0.762875	,Training loss (MSE): 6.75374e+13	,Validation loss (MSE): 3.03076e+14	,Training accuracy (MAE): -4.30221e+06	,Validation accuracy (MAE): -7.46206e+06	,Training accuracy (MRAE): 0.220976	,Validation accuracy (MRAE): 0.180412
Epoch: 41,	Training loss (MRSE): 0.704609	,Validation loss (MRSE): 0.762121	,Training loss (MSE): 2.2562e+14	,Validation loss (MSE): 2.81984e+14	,Training accuracy (MAE): -5.51499e+06	,Validation accuracy (MAE): -7.26232e+06	,Training accuracy (MRAE): 0.223773	,Validation accuracy (MRAE): 0.180175
Epoch: 42,	Training loss (MRSE): 0.703473	,Validation loss (MRSE): 0.760321	,Training loss (MSE): 1.08255e+14	,Validation loss (MSE): 2.72141e+14	,Training accuracy (MAE): -4.62185e+06	,Validation accuracy (MAE): -7.21341e+06	,Training accuracy (MRAE): 0.225719	,Validation accuracy (MRAE): 0.183985
Epoch: 43,	Training loss (MRSE): 0.701232	,Validation loss (MRSE): 0.758531	,Training loss (MSE): 1.76595e+14	,Validation loss (MSE): 2.63337e+14	,Training accuracy (MAE): -4.73844e+06	,Validation accuracy (MAE): -7.13885e+06	,Training accuracy (MRAE): 0.226994	,Validation accuracy (MRAE): 0.182399
Epoch: 44,	Training loss (MRSE): 0.701193	,Validation loss (MRSE): 0.758245	,Training loss (MSE): 7.77708e+13	,Validation loss (MSE): 2.50528e+14	,Training accuracy (MAE): -4.2312e+06	,Validation accuracy (MAE): -6.95222e+06	,Training accuracy (MRAE): 0.227704	,Validation accuracy (MRAE): 0.182095
Epoch: 45,	Training loss (MRSE): 0.700253	,Validation loss (MRSE): 0.755469	,Training loss (MSE): 2.28102e+14	,Validation loss (MSE): 2.40956e+14	,Training accuracy (MAE): -5.05102e+06	,Validation accuracy (MAE): -6.85847e+06	,Training accuracy (MRAE): 0.228691	,Validation accuracy (MRAE): 0.182711
Epoch: 46,	Training loss (MRSE): 0.699791	,Validation loss (MRSE): 0.754124	,Training loss (MSE): 1.73003e+14	,Validation loss (MSE): 2.30673e+14	,Training accuracy (MAE): -4.89006e+06	,Validation accuracy (MAE): -6.79922e+06	,Training accuracy (MRAE): 0.228412	,Validation accuracy (MRAE): 0.186696
Epoch: 47,	Training loss (MRSE): 0.696437	,Validation loss (MRSE): 0.751255	,Training loss (MSE): 6.77265e+14	,Validation loss (MSE): 2.21918e+14	,Training accuracy (MAE): -6.18443e+06	,Validation accuracy (MAE): -6.73726e+06	,Training accuracy (MRAE): 0.231546	,Validation accuracy (MRAE): 0.18777
Epoch: 48,	Training loss (MRSE): 0.701429	,Validation loss (MRSE): 0.751598	,Training loss (MSE): 1.59489e+15	,Validation loss (MSE): 2.09634e+14	,Training accuracy (MAE): -7.93626e+06	,Validation accuracy (MAE): -6.66543e+06	,Training accuracy (MRAE): 0.225223	,Validation accuracy (MRAE): 0.196233
Epoch: 49,	Training loss (MRSE): 0.700539	,Validation loss (MRSE): 0.74884	,Training loss (MSE): 7.74027e+14	,Validation loss (MSE): 2.16822e+14	,Training accuracy (MAE): -7.75501e+06	,Validation accuracy (MAE): -6.88296e+06	,Training accuracy (MRAE): 0.227758	,Validation accuracy (MRAE): 0.199423
Epoch: 50,	Training loss (MRSE): 0.700911	,Validation loss (MRSE): 0.749657	,Training loss (MSE): 1.13495e+15	,Validation loss (MSE): 2.10336e+14	,Training accuracy (MAE): -8.40243e+06	,Validation accuracy (MAE): -6.99124e+06	,Training accuracy (MRAE): 0.226071	,Validation accuracy (MRAE): 0.20355
Epoch: 51,	Training loss (MRSE): 0.692274	,Validation loss (MRSE): 0.749354	,Training loss (MSE): 6.11183e+15	,Validation loss (MSE): 1.63575e+14	,Training accuracy (MAE): -1.35187e+07	,Validation accuracy (MAE): -6.30547e+06	,Training accuracy (MRAE): 0.22925	,Validation accuracy (MRAE): 0.192399
Epoch: 52,	Training loss (MRSE): 0.706958	,Validation loss (MRSE): 0.752156	,Training loss (MSE): 8.48448e+15	,Validation loss (MSE): 2.11799e+14	,Training accuracy (MAE): -1.62837e+07	,Validation accuracy (MAE): -7.29012e+06	,Training accuracy (MRAE): 0.221821	,Validation accuracy (MRAE): 0.200305
Epoch: 53,	Training loss (MRSE): 0.702347	,Validation loss (MRSE): 0.749789	,Training loss (MSE): 1.08949e+15	,Validation loss (MSE): 1.5104e+14	,Training accuracy (MAE): -8.56703e+06	,Validation accuracy (MAE): -6.31071e+06	,Training accuracy (MRAE): 0.225757	,Validation accuracy (MRAE): 0.217645
Epoch: 54,	Training loss (MRSE): 0.691067	,Validation loss (MRSE): 0.750801	,Training loss (MSE): 2.93574e+15	,Validation loss (MSE): 1.11027e+14	,Training accuracy (MAE): -9.73111e+06	,Validation accuracy (MAE): -5.52521e+06	,Training accuracy (MRAE): 0.23144	,Validation accuracy (MRAE): 0.202225
Epoch: 55,	Training loss (MRSE): 0.697428	,Validation loss (MRSE): 0.750201	,Training loss (MSE): 1.49717e+15	,Validation loss (MSE): 1.47071e+14	,Training accuracy (MAE): -8.85433e+06	,Validation accuracy (MAE): -6.20181e+06	,Training accuracy (MRAE): 0.230901	,Validation accuracy (MRAE): 0.205383
Epoch: 56,	Training loss (MRSE): 0.687227	,Validation loss (MRSE): 0.751534	,Training loss (MSE): 1.34665e+15	,Validation loss (MSE): 1.15768e+14	,Training accuracy (MAE): -7.70415e+06	,Validation accuracy (MAE): -5.57624e+06	,Training accuracy (MRAE): 0.236657	,Validation accuracy (MRAE): 0.195057
Epoch: 57,	Training loss (MRSE): 0.689196	,Validation loss (MRSE): 0.752042	,Training loss (MSE): 7.02679e+13	,Validation loss (MSE): 1.29968e+14	,Training accuracy (MAE): -3.86788e+06	,Validation accuracy (MAE): -5.91105e+06	,Training accuracy (MRAE): 0.240358	,Validation accuracy (MRAE): 0.190284
Epoch: 58,	Training loss (MRSE): 0.6839	,Validation loss (MRSE): 0.752331	,Training loss (MSE): 1.80587e+14	,Validation loss (MSE): 1.1781e+14	,Training accuracy (MAE): -4.33991e+06	,Validation accuracy (MAE): -5.68094e+06	,Training accuracy (MRAE): 0.243465	,Validation accuracy (MRAE): 0.185863
Epoch: 59,	Training loss (MRSE): 0.682211	,Validation loss (MRSE): 0.753481	,Training loss (MSE): 2.64756e+13	,Validation loss (MSE): 1.18014e+14	,Training accuracy (MAE): -2.89239e+06	,Validation accuracy (MAE): -5.73001e+06	,Training accuracy (MRAE): 0.246771	,Validation accuracy (MRAE): 0.181878
Epoch: 60,	Training loss (MRSE): 0.678923	,Validation loss (MRSE): 0.754319	,Training loss (MSE): 5.76125e+13	,Validation loss (MSE): 1.13202e+14	,Training accuracy (MAE): -3.31914e+06	,Validation accuracy (MAE): -5.65654e+06	,Training accuracy (MRAE): 0.249522	,Validation accuracy (MRAE): 0.178752
Epoch: 61,	Training loss (MRSE): 0.676082	,Validation loss (MRSE): 0.75554	,Training loss (MSE): 5.91344e+13	,Validation loss (MSE): 1.10742e+14	,Training accuracy (MAE): -3.54627e+06	,Validation accuracy (MAE): -5.6347e+06	,Training accuracy (MRAE): 0.252643	,Validation accuracy (MRAE): 0.175805
Epoch: 62,	Training loss (MRSE): 0.67367	,Validation loss (MRSE): 0.756702	,Training loss (MSE): 2.16724e+13	,Validation loss (MSE): 1.08853e+14	,Training accuracy (MAE): -2.77815e+06	,Validation accuracy (MAE): -5.62277e+06	,Training accuracy (MRAE): 0.255545	,Validation accuracy (MRAE): 0.173571
Epoch: 63,	Training loss (MRSE): 0.670393	,Validation loss (MRSE): 0.757193	,Training loss (MSE): 4.22331e+13	,Validation loss (MSE): 1.04881e+14	,Training accuracy (MAE): -3.20349e+06	,Validation accuracy (MAE): -5.54999e+06	,Training accuracy (MRAE): 0.258457	,Validation accuracy (MRAE): 0.17209
Epoch: 64,	Training loss (MRSE): 0.667635	,Validation loss (MRSE): 0.757912	,Training loss (MSE): 3.17058e+13	,Validation loss (MSE): 1.0252e+14	,Training accuracy (MAE): -2.98689e+06	,Validation accuracy (MAE): -5.51643e+06	,Training accuracy (MRAE): 0.261848	,Validation accuracy (MRAE): 0.170727
Epoch: 65,	Training loss (MRSE): 0.664862	,Validation loss (MRSE): 0.758094	,Training loss (MSE): 3.3208e+13	,Validation loss (MSE): 9.97406e+13	,Training accuracy (MAE): -2.97824e+06	,Validation accuracy (MAE): -5.4641e+06	,Training accuracy (MRAE): 0.26536	,Validation accuracy (MRAE): 0.170073
Epoch: 66,	Training loss (MRSE): 0.662425	,Validation loss (MRSE): 0.758048	,Training loss (MSE): 3.18957e+13	,Validation loss (MSE): 9.72486e+13	,Training accuracy (MAE): -2.91487e+06	,Validation accuracy (MAE): -5.41494e+06	,Training accuracy (MRAE): 0.268738	,Validation accuracy (MRAE): 0.169791
Epoch: 67,	Training loss (MRSE): 0.660303	,Validation loss (MRSE): 0.757774	,Training loss (MSE): 3.08528e+13	,Validation loss (MSE): 9.48793e+13	,Training accuracy (MAE): -2.857e+06	,Validation accuracy (MAE): -5.36489e+06	,Training accuracy (MRAE): 0.271746	,Validation accuracy (MRAE): 0.169853
Epoch: 68,	Training loss (MRSE): 0.658438	,Validation loss (MRSE): 0.757377	,Training loss (MSE): 2.91589e+13	,Validation loss (MSE): 9.26615e+13	,Training accuracy (MAE): -2.78722e+06	,Validation accuracy (MAE): -5.31592e+06	,Training accuracy (MRAE): 0.274459	,Validation accuracy (MRAE): 0.170169
Epoch: 69,	Training loss (MRSE): 0.656758	,Validation loss (MRSE): 0.75686	,Training loss (MSE): 2.755e+13	,Validation loss (MSE): 9.05788e+13	,Training accuracy (MAE): -2.72197e+06	,Validation accuracy (MAE): -5.26754e+06	,Training accuracy (MRAE): 0.276958	,Validation accuracy (MRAE): 0.170728
Epoch: 70,	Training loss (MRSE): 0.655232	,Validation loss (MRSE): 0.756236	,Training loss (MSE): 2.60989e+13	,Validation loss (MSE): 8.86547e+13	,Training accuracy (MAE): -2.66399e+06	,Validation accuracy (MAE): -5.22024e+06	,Training accuracy (MRAE): 0.278951	,Validation accuracy (MRAE): 0.171513
Epoch: 71,	Training loss (MRSE): 0.653842	,Validation loss (MRSE): 0.755549	,Training loss (MSE): 2.47892e+13	,Validation loss (MSE): 8.68887e+13	,Training accuracy (MAE): -2.61172e+06	,Validation accuracy (MAE): -5.1744e+06	,Training accuracy (MRAE): 0.280378	,Validation accuracy (MRAE): 0.172481
Epoch: 72,	Training loss (MRSE): 0.652564	,Validation loss (MRSE): 0.754833	,Training loss (MSE): 2.38254e+13	,Validation loss (MSE): 8.53009e+13	,Training accuracy (MAE): -2.56814e+06	,Validation accuracy (MAE): -5.13098e+06	,Training accuracy (MRAE): 0.281704	,Validation accuracy (MRAE): 0.17359
Epoch: 73,	Training loss (MRSE): 0.651366	,Validation loss (MRSE): 0.754149	,Training loss (MSE): 2.30738e+13	,Validation loss (MSE): 8.40311e+13	,Training accuracy (MAE): -2.52894e+06	,Validation accuracy (MAE): -5.09371e+06	,Training accuracy (MRAE): 0.282934	,Validation accuracy (MRAE): 0.174758
Epoch: 74,	Training loss (MRSE): 0.650229	,Validation loss (MRSE): 0.753535	,Training loss (MSE): 2.2491e+13	,Validation loss (MSE): 8.31648e+13	,Training accuracy (MAE): -2.49241e+06	,Validation accuracy (MAE): -5.06489e+06	,Training accuracy (MRAE): 0.284095	,Validation accuracy (MRAE): 0.175921
Epoch: 75,	Training loss (MRSE): 0.64914	,Validation loss (MRSE): 0.752969	,Training loss (MSE): 2.19627e+13	,Validation loss (MSE): 8.25496e+13	,Training accuracy (MAE): -2.45629e+06	,Validation accuracy (MAE): -5.04135e+06	,Training accuracy (MRAE): 0.285236	,Validation accuracy (MRAE): 0.177049
Epoch: 76,	Training loss (MRSE): 0.648087	,Validation loss (MRSE): 0.752399	,Training loss (MSE): 2.14088e+13	,Validation loss (MSE): 8.1914e+13	,Training accuracy (MAE): -2.42046e+06	,Validation accuracy (MAE): -5.01689e+06	,Training accuracy (MRAE): 0.286384	,Validation accuracy (MRAE): 0.177796
Epoch: 77,	Training loss (MRSE): 0.647057	,Validation loss (MRSE): 0.751789	,Training loss (MSE): 2.06283e+13	,Validation loss (MSE): 8.10302e+13	,Training accuracy (MAE): -2.38065e+06	,Validation accuracy (MAE): -4.98562e+06	,Training accuracy (MRAE): 0.287547	,Validation accuracy (MRAE): 0.17783
Epoch: 78,	Training loss (MRSE): 0.646031	,Validation loss (MRSE): 0.751122	,Training loss (MSE): 1.96361e+13	,Validation loss (MSE): 7.98118e+13	,Training accuracy (MAE): -2.33546e+06	,Validation accuracy (MAE): -4.94425e+06	,Training accuracy (MRAE): 0.288749	,Validation accuracy (MRAE): 0.177992
Epoch: 79,	Training loss (MRSE): 0.645004	,Validation loss (MRSE): 0.750425	,Training loss (MSE): 1.83624e+13	,Validation loss (MSE): 7.85596e+13	,Training accuracy (MAE): -2.28101e+06	,Validation accuracy (MAE): -4.90244e+06	,Training accuracy (MRAE): 0.290008	,Validation accuracy (MRAE): 0.178233
Epoch: 80,	Training loss (MRSE): 0.643986	,Validation loss (MRSE): 0.749697	,Training loss (MSE): 1.74282e+13	,Validation loss (MSE): 7.73957e+13	,Training accuracy (MAE): -2.24088e+06	,Validation accuracy (MAE): -4.86396e+06	,Training accuracy (MRAE): 0.291311	,Validation accuracy (MRAE): 0.17854
Epoch: 81,	Training loss (MRSE): 0.642971	,Validation loss (MRSE): 0.748947	,Training loss (MSE): 1.67938e+13	,Validation loss (MSE): 7.62679e+13	,Training accuracy (MAE): -2.20976e+06	,Validation accuracy (MAE): -4.82658e+06	,Training accuracy (MRAE): 0.292641	,Validation accuracy (MRAE): 0.178889
Epoch: 82,	Training loss (MRSE): 0.641968	,Validation loss (MRSE): 0.748217	,Training loss (MSE): 1.61145e+13	,Validation loss (MSE): 7.52195e+13	,Training accuracy (MAE): -2.17333e+06	,Validation accuracy (MAE): -4.79164e+06	,Training accuracy (MRAE): 0.293983	,Validation accuracy (MRAE): 0.179212
Epoch: 83,	Training loss (MRSE): 0.640978	,Validation loss (MRSE): 0.747527	,Training loss (MSE): 1.56789e+13	,Validation loss (MSE): 7.42654e+13	,Training accuracy (MAE): -2.14594e+06	,Validation accuracy (MAE): -4.75963e+06	,Training accuracy (MRAE): 0.294951	,Validation accuracy (MRAE): 0.179476
