Epoch: 0	,Training loss (MRSE): 0.979283	,Validation loss (MRSE): 0.999999	,Training loss (MSE): 7.89194e+22	,Validation loss (MSE): 5.74934e+19	,Training accuracy (MAE): -1.40633e+10	,Validation accuracy (MAE): -9.03275e+08	,Training accuracy (MRAE): 0.0152702	,Validation accuracy (MRAE): 3.76011e-07
Epoch: 280	,Training loss (MRSE): 0.189077	,Validation loss (MRSE): 0.79603	,Training loss (MSE): 2.18031e+16	,Validation loss (MSE): 1.93022e+17	,Training accuracy (MAE): -2.0748e+07	,Validation accuracy (MAE): -7.53396e+07	,Training accuracy (MRAE): 0.638132	,Validation accuracy (MRAE): 0.137778
Epoch: 288	,Training loss (MRSE): 0.134759	,Validation loss (MRSE): 0.803219	,Training loss (MSE): 7.82886e+15	,Validation loss (MSE): 1.93017e+17	,Training accuracy (MAE): -1.22653e+07	,Validation accuracy (MAE): -7.56809e+07	,Training accuracy (MRAE): 0.731874	,Validation accuracy (MRAE): 0.127939
Epoch: 296	,Training loss (MRSE): 0.162815	,Validation loss (MRSE): 0.799287	,Training loss (MSE): 7.0932e+15	,Validation loss (MSE): 1.93024e+17	,Training accuracy (MAE): -1.16491e+07	,Validation accuracy (MAE): -7.58888e+07	,Training accuracy (MRAE): 0.68589	,Validation accuracy (MRAE): 0.137582
Epoch: 304	,Training loss (MRSE): 0.146937	,Validation loss (MRSE): 0.797512	,Training loss (MSE): 1.74557e+16	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -1.35484e+07	,Validation accuracy (MAE): -7.54741e+07	,Training accuracy (MRAE): 0.722943	,Validation accuracy (MRAE): 0.141372
Epoch: 312	,Training loss (MRSE): 0.148362	,Validation loss (MRSE): 0.812524	,Training loss (MSE): 1.2734e+16	,Validation loss (MSE): 1.93038e+17	,Training accuracy (MAE): -1.69941e+07	,Validation accuracy (MAE): -7.6567e+07	,Training accuracy (MRAE): 0.716383	,Validation accuracy (MRAE): 0.126315
Epoch: 320	,Training loss (MRSE): 0.134946	,Validation loss (MRSE): 0.808396	,Training loss (MSE): 1.25404e+16	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -1.44544e+07	,Validation accuracy (MAE): -7.54622e+07	,Training accuracy (MRAE): 0.723075	,Validation accuracy (MRAE): 0.123763
Epoch: 328	,Training loss (MRSE): 0.179367	,Validation loss (MRSE): 0.809059	,Training loss (MSE): 8.63583e+15	,Validation loss (MSE): 1.92983e+17	,Training accuracy (MAE): -1.30566e+07	,Validation accuracy (MAE): -7.61893e+07	,Training accuracy (MRAE): 0.665692	,Validation accuracy (MRAE): 0.131948
Epoch: 336	,Training loss (MRSE): 0.122573	,Validation loss (MRSE): 0.80925	,Training loss (MSE): 1.21322e+16	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -1.4947e+07	,Validation accuracy (MAE): -7.5663e+07	,Training accuracy (MRAE): 0.746515	,Validation accuracy (MRAE): 0.123472
Epoch: 344	,Training loss (MRSE): 0.202806	,Validation loss (MRSE): 0.804294	,Training loss (MSE): 1.6834e+16	,Validation loss (MSE): 1.9304e+17	,Training accuracy (MAE): -1.72177e+07	,Validation accuracy (MAE): -7.60886e+07	,Training accuracy (MRAE): 0.61718	,Validation accuracy (MRAE): 0.137342
Epoch: 352	,Training loss (MRSE): 0.155582	,Validation loss (MRSE): 0.810283	,Training loss (MSE): 8.72398e+15	,Validation loss (MSE): 1.93023e+17	,Training accuracy (MAE): -1.22323e+07	,Validation accuracy (MAE): -7.58563e+07	,Training accuracy (MRAE): 0.705748	,Validation accuracy (MRAE): 0.130647
Epoch: 360	,Training loss (MRSE): 0.175085	,Validation loss (MRSE): 0.808313	,Training loss (MSE): 3.04501e+16	,Validation loss (MSE): 1.92984e+17	,Training accuracy (MAE): -2.30152e+07	,Validation accuracy (MAE): -7.59467e+07	,Training accuracy (MRAE): 0.664057	,Validation accuracy (MRAE): 0.130341
Epoch: 368	,Training loss (MRSE): 0.184642	,Validation loss (MRSE): 0.814084	,Training loss (MSE): 6.38308e+16	,Validation loss (MSE): 1.93017e+17	,Training accuracy (MAE): -3.51496e+07	,Validation accuracy (MAE): -7.59242e+07	,Training accuracy (MRAE): 0.639455	,Validation accuracy (MRAE): 0.119393
Epoch: 376	,Training loss (MRSE): 0.144219	,Validation loss (MRSE): 0.812206	,Training loss (MSE): 4.35632e+16	,Validation loss (MSE): 1.93005e+17	,Training accuracy (MAE): -2.86781e+07	,Validation accuracy (MAE): -7.57606e+07	,Training accuracy (MRAE): 0.704958	,Validation accuracy (MRAE): 0.124828
Epoch: 384	,Training loss (MRSE): 0.178618	,Validation loss (MRSE): 0.804054	,Training loss (MSE): 6.52818e+15	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -1.20277e+07	,Validation accuracy (MAE): -7.52609e+07	,Training accuracy (MRAE): 0.651296	,Validation accuracy (MRAE): 0.12998
Epoch: 392	,Training loss (MRSE): 0.160776	,Validation loss (MRSE): 0.80819	,Training loss (MSE): 4.57751e+16	,Validation loss (MSE): 1.93026e+17	,Training accuracy (MAE): -2.97748e+07	,Validation accuracy (MAE): -7.61071e+07	,Training accuracy (MRAE): 0.67627	,Validation accuracy (MRAE): 0.128875
Epoch: 400	,Training loss (MRSE): 0.118151	,Validation loss (MRSE): 0.813252	,Training loss (MSE): 1.69652e+16	,Validation loss (MSE): 1.93016e+17	,Training accuracy (MAE): -1.84945e+07	,Validation accuracy (MAE): -7.55748e+07	,Training accuracy (MRAE): 0.745052	,Validation accuracy (MRAE): 0.122269
Epoch: 408	,Training loss (MRSE): 0.168817	,Validation loss (MRSE): 0.795459	,Training loss (MSE): 4.34223e+15	,Validation loss (MSE): 1.93002e+17	,Training accuracy (MAE): -1.00587e+07	,Validation accuracy (MAE): -7.56254e+07	,Training accuracy (MRAE): 0.682301	,Validation accuracy (MRAE): 0.145836
Epoch: 416	,Training loss (MRSE): 0.10865	,Validation loss (MRSE): 0.816178	,Training loss (MSE): 2.8895e+15	,Validation loss (MSE): 1.93025e+17	,Training accuracy (MAE): -7.60183e+06	,Validation accuracy (MAE): -7.59943e+07	,Training accuracy (MRAE): 0.758794	,Validation accuracy (MRAE): 0.120177
Epoch: 424	,Training loss (MRSE): 0.114641	,Validation loss (MRSE): 0.818815	,Training loss (MSE): 8.71676e+15	,Validation loss (MSE): 1.93007e+17	,Training accuracy (MAE): -1.22716e+07	,Validation accuracy (MAE): -7.58658e+07	,Training accuracy (MRAE): 0.747712	,Validation accuracy (MRAE): 0.119001
Epoch: 432	,Training loss (MRSE): 0.16085	,Validation loss (MRSE): 0.798092	,Training loss (MSE): 1.25601e+16	,Validation loss (MSE): 1.93018e+17	,Training accuracy (MAE): -1.40494e+07	,Validation accuracy (MAE): -7.52927e+07	,Training accuracy (MRAE): 0.673774	,Validation accuracy (MRAE): 0.140238
Epoch: 440	,Training loss (MRSE): 0.17237	,Validation loss (MRSE): 0.805464	,Training loss (MSE): 6.09959e+16	,Validation loss (MSE): 1.93022e+17	,Training accuracy (MAE): -3.05839e+07	,Validation accuracy (MAE): -7.56963e+07	,Training accuracy (MRAE): 0.644285	,Validation accuracy (MRAE): 0.125426
Epoch: 448	,Training loss (MRSE): 0.122766	,Validation loss (MRSE): 0.821788	,Training loss (MSE): 9.68439e+15	,Validation loss (MSE): 1.93011e+17	,Training accuracy (MAE): -1.27002e+07	,Validation accuracy (MAE): -7.55858e+07	,Training accuracy (MRAE): 0.732366	,Validation accuracy (MRAE): 0.115079
Epoch: 456	,Training loss (MRSE): 0.120027	,Validation loss (MRSE): 0.815758	,Training loss (MSE): 1.31742e+16	,Validation loss (MSE): 1.93015e+17	,Training accuracy (MAE): -1.53903e+07	,Validation accuracy (MAE): -7.59392e+07	,Training accuracy (MRAE): 0.737568	,Validation accuracy (MRAE): 0.123945
Epoch: 464	,Training loss (MRSE): 0.200155	,Validation loss (MRSE): 0.834245	,Training loss (MSE): 1.16092e+16	,Validation loss (MSE): 1.92987e+17	,Training accuracy (MAE): -1.69927e+07	,Validation accuracy (MAE): -7.6611e+07	,Training accuracy (MRAE): 0.619721	,Validation accuracy (MRAE): 0.106486
Epoch: 472	,Training loss (MRSE): 0.128347	,Validation loss (MRSE): 0.799485	,Training loss (MSE): 1.03172e+16	,Validation loss (MSE): 1.9301e+17	,Training accuracy (MAE): -1.44624e+07	,Validation accuracy (MAE): -7.53479e+07	,Training accuracy (MRAE): 0.730751	,Validation accuracy (MRAE): 0.135213
Epoch: 480	,Training loss (MRSE): 0.157961	,Validation loss (MRSE): 0.803513	,Training loss (MSE): 2.80229e+15	,Validation loss (MSE): 1.93017e+17	,Training accuracy (MAE): -9.36706e+06	,Validation accuracy (MAE): -7.55897e+07	,Training accuracy (MRAE): 0.676969	,Validation accuracy (MRAE): 0.13105
Epoch: 488	,Training loss (MRSE): 0.157083	,Validation loss (MRSE): 0.808027	,Training loss (MSE): 3.76774e+16	,Validation loss (MSE): 1.93032e+17	,Training accuracy (MAE): -2.63861e+07	,Validation accuracy (MAE): -7.55148e+07	,Training accuracy (MRAE): 0.676141	,Validation accuracy (MRAE): 0.128807
Epoch: 496	,Training loss (MRSE): 0.11552	,Validation loss (MRSE): 0.823242	,Training loss (MSE): 4.22903e+15	,Validation loss (MSE): 1.9303e+17	,Training accuracy (MAE): -1.01648e+07	,Validation accuracy (MAE): -7.64536e+07	,Training accuracy (MRAE): 0.740288	,Validation accuracy (MRAE): 0.11357
Epoch: 504	,Training loss (MRSE): 0.115651	,Validation loss (MRSE): 0.812032	,Training loss (MSE): 5.62122e+15	,Validation loss (MSE): 1.93014e+17	,Training accuracy (MAE): -8.412e+06	,Validation accuracy (MAE): -7.5517e+07	,Training accuracy (MRAE): 0.74386	,Validation accuracy (MRAE): 0.122395
Epoch: 512	,Training loss (MRSE): 0.133324	,Validation loss (MRSE): 0.827899	,Training loss (MSE): 1.6922e+16	,Validation loss (MSE): 1.93028e+17	,Training accuracy (MAE): -1.79877e+07	,Validation accuracy (MAE): -7.60889e+07	,Training accuracy (MRAE): 0.710847	,Validation accuracy (MRAE): 0.113354
Epoch: 520	,Training loss (MRSE): 0.125751	,Validation loss (MRSE): 0.815204	,Training loss (MSE): 4.97434e+15	,Validation loss (MSE): 1.93023e+17	,Training accuracy (MAE): -9.06178e+06	,Validation accuracy (MAE): -7.55995e+07	,Training accuracy (MRAE): 0.719752	,Validation accuracy (MRAE): 0.121343
Epoch: 528	,Training loss (MRSE): 0.115113	,Validation loss (MRSE): 0.826051	,Training loss (MSE): 5.61208e+16	,Validation loss (MSE): 1.93018e+17	,Training accuracy (MAE): -3.36219e+07	,Validation accuracy (MAE): -7.58648e+07	,Training accuracy (MRAE): 0.739055	,Validation accuracy (MRAE): 0.113341
Epoch: 536	,Training loss (MRSE): 0.0965214	,Validation loss (MRSE): 0.814483	,Training loss (MSE): 1.59071e+15	,Validation loss (MSE): 1.93003e+17	,Training accuracy (MAE): -6.24567e+06	,Validation accuracy (MAE): -7.54645e+07	,Training accuracy (MRAE): 0.788159	,Validation accuracy (MRAE): 0.119346
Epoch: 544	,Training loss (MRSE): 0.116758	,Validation loss (MRSE): 0.821222	,Training loss (MSE): 5.63979e+15	,Validation loss (MSE): 1.93036e+17	,Training accuracy (MAE): -1.1089e+07	,Validation accuracy (MAE): -7.60276e+07	,Training accuracy (MRAE): 0.744719	,Validation accuracy (MRAE): 0.119625
Epoch: 552	,Training loss (MRSE): 0.112394	,Validation loss (MRSE): 0.819113	,Training loss (MSE): 1.95433e+15	,Validation loss (MSE): 1.93013e+17	,Training accuracy (MAE): -7.29837e+06	,Validation accuracy (MAE): -7.58266e+07	,Training accuracy (MRAE): 0.742564	,Validation accuracy (MRAE): 0.11498
Epoch: 560	,Training loss (MRSE): 0.191138	,Validation loss (MRSE): 0.812424	,Training loss (MSE): 2.37896e+16	,Validation loss (MSE): 1.93008e+17	,Training accuracy (MAE): -2.47009e+07	,Validation accuracy (MAE): -7.59488e+07	,Training accuracy (MRAE): 0.616982	,Validation accuracy (MRAE): 0.125911
Epoch: 568	,Training loss (MRSE): 0.106555	,Validation loss (MRSE): 0.814393	,Training loss (MSE): 6.24306e+15	,Validation loss (MSE): 1.93028e+17	,Training accuracy (MAE): -1.06352e+07	,Validation accuracy (MAE): -7.56822e+07	,Training accuracy (MRAE): 0.756638	,Validation accuracy (MRAE): 0.123232
Epoch: 576	,Training loss (MRSE): 0.104013	,Validation loss (MRSE): 0.818348	,Training loss (MSE): 1.01627e+16	,Validation loss (MSE): 1.93016e+17	,Training accuracy (MAE): -1.30102e+07	,Validation accuracy (MAE): -7.53147e+07	,Training accuracy (MRAE): 0.76646	,Validation accuracy (MRAE): 0.118561
Epoch: 584	,Training loss (MRSE): 0.0978558	,Validation loss (MRSE): 0.817145	,Training loss (MSE): 1.16142e+16	,Validation loss (MSE): 1.93016e+17	,Training accuracy (MAE): -1.49361e+07	,Validation accuracy (MAE): -7.55605e+07	,Training accuracy (MRAE): 0.76311	,Validation accuracy (MRAE): 0.117054
Epoch: 592	,Training loss (MRSE): 0.130166	,Validation loss (MRSE): 0.821085	,Training loss (MSE): 9.95713e+15	,Validation loss (MSE): 1.93135e+17	,Training accuracy (MAE): -1.41064e+07	,Validation accuracy (MAE): -7.74816e+07	,Training accuracy (MRAE): 0.71919	,Validation accuracy (MRAE): 0.118147
Epoch: 600	,Training loss (MRSE): 0.0946302	,Validation loss (MRSE): 0.820547	,Training loss (MSE): 9.37202e+15	,Validation loss (MSE): 1.93007e+17	,Training accuracy (MAE): -1.19253e+07	,Validation accuracy (MAE): -7.53889e+07	,Training accuracy (MRAE): 0.775405	,Validation accuracy (MRAE): 0.117485
Epoch: 608	,Training loss (MRSE): 0.108464	,Validation loss (MRSE): 0.828895	,Training loss (MSE): 9.72431e+15	,Validation loss (MSE): 1.93128e+17	,Training accuracy (MAE): -1.12587e+07	,Validation accuracy (MAE): -7.75173e+07	,Training accuracy (MRAE): 0.76931	,Validation accuracy (MRAE): 0.113324
Epoch: 616	,Training loss (MRSE): 0.144256	,Validation loss (MRSE): 0.837222	,Training loss (MSE): 1.57338e+16	,Validation loss (MSE): 1.92988e+17	,Training accuracy (MAE): -1.60393e+07	,Validation accuracy (MAE): -7.6046e+07	,Training accuracy (MRAE): 0.693195	,Validation accuracy (MRAE): 0.105161
Epoch: 624	,Training loss (MRSE): 0.159097	,Validation loss (MRSE): 0.824553	,Training loss (MSE): 1.03332e+16	,Validation loss (MSE): 1.93019e+17	,Training accuracy (MAE): -1.43823e+07	,Validation accuracy (MAE): -7.58104e+07	,Training accuracy (MRAE): 0.657736	,Validation accuracy (MRAE): 0.11254
Epoch: 632	,Training loss (MRSE): 0.0921484	,Validation loss (MRSE): 0.813215	,Training loss (MSE): 9.59828e+15	,Validation loss (MSE): 1.93012e+17	,Training accuracy (MAE): -1.24044e+07	,Validation accuracy (MAE): -7.5557e+07	,Training accuracy (MRAE): 0.784724	,Validation accuracy (MRAE): 0.120228
Epoch: 640	,Training loss (MRSE): 0.101051	,Validation loss (MRSE): 0.814713	,Training loss (MSE): 8.12395e+15	,Validation loss (MSE): 1.9303e+17	,Training accuracy (MAE): -1.26722e+07	,Validation accuracy (MAE): -7.56342e+07	,Training accuracy (MRAE): 0.766612	,Validation accuracy (MRAE): 0.123717
Epoch: 648	,Training loss (MRSE): 0.173734	,Validation loss (MRSE): 0.831695	,Training loss (MSE): 4.51368e+16	,Validation loss (MSE): 1.93139e+17	,Training accuracy (MAE): -3.28989e+07	,Validation accuracy (MAE): -7.78186e+07	,Training accuracy (MRAE): 0.629463	,Validation accuracy (MRAE): 0.113764
Epoch: 656	,Training loss (MRSE): 0.172326	,Validation loss (MRSE): 0.824335	,Training loss (MSE): 1.36454e+17	,Validation loss (MSE): 1.92968e+17	,Training accuracy (MAE): -5.04709e+07	,Validation accuracy (MAE): -7.56796e+07	,Training accuracy (MRAE): 0.649633	,Validation accuracy (MRAE): 0.115401
Epoch: 664	,Training loss (MRSE): 0.142184	,Validation loss (MRSE): 0.810699	,Training loss (MSE): 3.37804e+16	,Validation loss (MSE): 1.92998e+17	,Training accuracy (MAE): -2.66035e+07	,Validation accuracy (MAE): -7.55365e+07	,Training accuracy (MRAE): 0.683368	,Validation accuracy (MRAE): 0.125503
