Epoch: 0	,Training loss (MRSE): 1.00042	,Validation loss (MRSE): 1.00816	,Training loss (MSE): 1.52893e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.03935e+07	,Validation accuracy (MAE): -7.46089e+07	,Training accuracy (MRAE): -0.000208285	,Validation accuracy (MRAE): -0.00400604
Epoch: 88	,Training loss (MRSE): 0.350223	,Validation loss (MRSE): 0.785407	,Training loss (MSE): 1.81265e+17	,Validation loss (MSE): 1.93019e+17	,Training accuracy (MAE): -4.08515e+07	,Validation accuracy (MAE): -7.51594e+07	,Training accuracy (MRAE): 0.494328	,Validation accuracy (MRAE): 0.146042
Epoch: 96	,Training loss (MRSE): 0.336724	,Validation loss (MRSE): 0.773675	,Training loss (MSE): 8.66589e+16	,Validation loss (MSE): 1.93015e+17	,Training accuracy (MAE): -4.39834e+07	,Validation accuracy (MAE): -7.50077e+07	,Training accuracy (MRAE): 0.495245	,Validation accuracy (MRAE): 0.154225
Epoch: 104	,Training loss (MRSE): 0.302752	,Validation loss (MRSE): 0.779443	,Training loss (MSE): 1.10597e+17	,Validation loss (MSE): 1.93011e+17	,Training accuracy (MAE): -4.48004e+07	,Validation accuracy (MAE): -7.51013e+07	,Training accuracy (MRAE): 0.535315	,Validation accuracy (MRAE): 0.156277
Epoch: 112	,Training loss (MRSE): 0.27448	,Validation loss (MRSE): 0.779851	,Training loss (MSE): 4.87564e+16	,Validation loss (MSE): 1.92996e+17	,Training accuracy (MAE): -3.16992e+07	,Validation accuracy (MAE): -7.49744e+07	,Training accuracy (MRAE): 0.582211	,Validation accuracy (MRAE): 0.151128
Epoch: 120	,Training loss (MRSE): 0.318533	,Validation loss (MRSE): 0.793203	,Training loss (MSE): 2.05323e+16	,Validation loss (MSE): 1.92925e+17	,Training accuracy (MAE): -1.83469e+07	,Validation accuracy (MAE): -7.51589e+07	,Training accuracy (MRAE): 0.527183	,Validation accuracy (MRAE): 0.144526
Epoch: 128	,Training loss (MRSE): 0.247641	,Validation loss (MRSE): 0.773897	,Training loss (MSE): 2.20291e+16	,Validation loss (MSE): 1.92994e+17	,Training accuracy (MAE): -1.97622e+07	,Validation accuracy (MAE): -7.51063e+07	,Training accuracy (MRAE): 0.600885	,Validation accuracy (MRAE): 0.1649
Epoch: 136	,Training loss (MRSE): 0.274321	,Validation loss (MRSE): 0.785367	,Training loss (MSE): 2.70728e+16	,Validation loss (MSE): 1.92983e+17	,Training accuracy (MAE): -2.06739e+07	,Validation accuracy (MAE): -7.49288e+07	,Training accuracy (MRAE): 0.567618	,Validation accuracy (MRAE): 0.144453
Epoch: 144	,Training loss (MRSE): 0.235993	,Validation loss (MRSE): 0.776438	,Training loss (MSE): 1.80384e+16	,Validation loss (MSE): 1.92936e+17	,Training accuracy (MAE): -1.65212e+07	,Validation accuracy (MAE): -7.50794e+07	,Training accuracy (MRAE): 0.624445	,Validation accuracy (MRAE): 0.153217
Epoch: 152	,Training loss (MRSE): 0.386947	,Validation loss (MRSE): 0.793708	,Training loss (MSE): 6.79249e+16	,Validation loss (MSE): 1.92999e+17	,Training accuracy (MAE): -3.93448e+07	,Validation accuracy (MAE): -7.48315e+07	,Training accuracy (MRAE): 0.436732	,Validation accuracy (MRAE): 0.141689
Epoch: 160	,Training loss (MRSE): 0.304737	,Validation loss (MRSE): 0.788612	,Training loss (MSE): 2.34676e+16	,Validation loss (MSE): 1.93025e+17	,Training accuracy (MAE): -1.89457e+07	,Validation accuracy (MAE): -7.4929e+07	,Training accuracy (MRAE): 0.547891	,Validation accuracy (MRAE): 0.144838
Epoch: 168	,Training loss (MRSE): 0.24108	,Validation loss (MRSE): 0.771538	,Training loss (MSE): 4.76225e+16	,Validation loss (MSE): 1.92973e+17	,Training accuracy (MAE): -3.09292e+07	,Validation accuracy (MAE): -7.50011e+07	,Training accuracy (MRAE): 0.607983	,Validation accuracy (MRAE): 0.165296
Epoch: 176	,Training loss (MRSE): 0.237647	,Validation loss (MRSE): 0.78131	,Training loss (MSE): 3.29737e+16	,Validation loss (MSE): 1.92947e+17	,Training accuracy (MAE): -2.45871e+07	,Validation accuracy (MAE): -7.51102e+07	,Training accuracy (MRAE): 0.602359	,Validation accuracy (MRAE): 0.15786
Epoch: 184	,Training loss (MRSE): 0.230129	,Validation loss (MRSE): 0.775806	,Training loss (MSE): 4.12721e+16	,Validation loss (MSE): 1.92932e+17	,Training accuracy (MAE): -2.28772e+07	,Validation accuracy (MAE): -7.49722e+07	,Training accuracy (MRAE): 0.608008	,Validation accuracy (MRAE): 0.160572
Epoch: 192	,Training loss (MRSE): 0.21879	,Validation loss (MRSE): 0.778445	,Training loss (MSE): 4.33352e+16	,Validation loss (MSE): 1.92968e+17	,Training accuracy (MAE): -2.80361e+07	,Validation accuracy (MAE): -7.51041e+07	,Training accuracy (MRAE): 0.617764	,Validation accuracy (MRAE): 0.156049
Epoch: 200	,Training loss (MRSE): 0.225615	,Validation loss (MRSE): 0.792461	,Training loss (MSE): 1.40824e+17	,Validation loss (MSE): 1.9293e+17	,Training accuracy (MAE): -3.3135e+07	,Validation accuracy (MAE): -7.49578e+07	,Training accuracy (MRAE): 0.628826	,Validation accuracy (MRAE): 0.14199
Epoch: 208	,Training loss (MRSE): 0.230512	,Validation loss (MRSE): 0.782954	,Training loss (MSE): 2.86914e+16	,Validation loss (MSE): 1.92967e+17	,Training accuracy (MAE): -2.06039e+07	,Validation accuracy (MAE): -7.51122e+07	,Training accuracy (MRAE): 0.616652	,Validation accuracy (MRAE): 0.15674
Epoch: 216	,Training loss (MRSE): 0.211767	,Validation loss (MRSE): 0.787183	,Training loss (MSE): 2.44562e+17	,Validation loss (MSE): 1.92947e+17	,Training accuracy (MAE): -4.22024e+07	,Validation accuracy (MAE): -7.50789e+07	,Training accuracy (MRAE): 0.630555	,Validation accuracy (MRAE): 0.142771
Epoch: 224	,Training loss (MRSE): 0.235338	,Validation loss (MRSE): 0.789328	,Training loss (MSE): 1.38932e+16	,Validation loss (MSE): 1.92992e+17	,Training accuracy (MAE): -1.57868e+07	,Validation accuracy (MAE): -7.50153e+07	,Training accuracy (MRAE): 0.605762	,Validation accuracy (MRAE): 0.140788
Epoch: 232	,Training loss (MRSE): 0.286999	,Validation loss (MRSE): 0.810917	,Training loss (MSE): 2.01149e+16	,Validation loss (MSE): 1.92781e+17	,Training accuracy (MAE): -1.77921e+07	,Validation accuracy (MAE): -7.53493e+07	,Training accuracy (MRAE): 0.541626	,Validation accuracy (MRAE): 0.127217
Epoch: 240	,Training loss (MRSE): 0.179089	,Validation loss (MRSE): 0.786487	,Training loss (MSE): 1.71848e+16	,Validation loss (MSE): 1.92947e+17	,Training accuracy (MAE): -1.67834e+07	,Validation accuracy (MAE): -7.51573e+07	,Training accuracy (MRAE): 0.672488	,Validation accuracy (MRAE): 0.148722
Epoch: 248	,Training loss (MRSE): 0.244427	,Validation loss (MRSE): 0.796062	,Training loss (MSE): 2.61478e+16	,Validation loss (MSE): 1.92896e+17	,Training accuracy (MAE): -2.24642e+07	,Validation accuracy (MAE): -7.51809e+07	,Training accuracy (MRAE): 0.590538	,Validation accuracy (MRAE): 0.137494
Epoch: 256	,Training loss (MRSE): 0.170723	,Validation loss (MRSE): 0.791386	,Training loss (MSE): 1.91406e+16	,Validation loss (MSE): 1.9292e+17	,Training accuracy (MAE): -1.85252e+07	,Validation accuracy (MAE): -7.51738e+07	,Training accuracy (MRAE): 0.686411	,Validation accuracy (MRAE): 0.150327
Epoch: 264	,Training loss (MRSE): 0.183031	,Validation loss (MRSE): 0.794108	,Training loss (MSE): 6.15161e+15	,Validation loss (MSE): 1.92949e+17	,Training accuracy (MAE): -1.05745e+07	,Validation accuracy (MAE): -7.53091e+07	,Training accuracy (MRAE): 0.665939	,Validation accuracy (MRAE): 0.145991
Epoch: 272	,Training loss (MRSE): 0.216159	,Validation loss (MRSE): 0.809907	,Training loss (MSE): 2.17048e+16	,Validation loss (MSE): 1.9289e+17	,Training accuracy (MAE): -1.92368e+07	,Validation accuracy (MAE): -7.55032e+07	,Training accuracy (MRAE): 0.614938	,Validation accuracy (MRAE): 0.130147
Epoch: 280	,Training loss (MRSE): 0.154972	,Validation loss (MRSE): 0.797384	,Training loss (MSE): 2.64313e+16	,Validation loss (MSE): 1.92935e+17	,Training accuracy (MAE): -1.99365e+07	,Validation accuracy (MAE): -7.53569e+07	,Training accuracy (MRAE): 0.701566	,Validation accuracy (MRAE): 0.140432
Epoch: 288	,Training loss (MRSE): 0.170777	,Validation loss (MRSE): 0.803151	,Training loss (MSE): 6.16342e+15	,Validation loss (MSE): 1.9285e+17	,Training accuracy (MAE): -1.14491e+07	,Validation accuracy (MAE): -7.5367e+07	,Training accuracy (MRAE): 0.669618	,Validation accuracy (MRAE): 0.13353
Epoch: 296	,Training loss (MRSE): 0.212775	,Validation loss (MRSE): 0.789501	,Training loss (MSE): 1.27826e+16	,Validation loss (MSE): 1.9289e+17	,Training accuracy (MAE): -1.54221e+07	,Validation accuracy (MAE): -7.51268e+07	,Training accuracy (MRAE): 0.642309	,Validation accuracy (MRAE): 0.149375
Epoch: 304	,Training loss (MRSE): 0.186292	,Validation loss (MRSE): 0.795584	,Training loss (MSE): 2.0962e+16	,Validation loss (MSE): 1.92916e+17	,Training accuracy (MAE): -1.84751e+07	,Validation accuracy (MAE): -7.51924e+07	,Training accuracy (MRAE): 0.660029	,Validation accuracy (MRAE): 0.146048
Epoch: 312	,Training loss (MRSE): 0.172529	,Validation loss (MRSE): 0.803134	,Training loss (MSE): 3.51254e+16	,Validation loss (MSE): 1.92921e+17	,Training accuracy (MAE): -2.52589e+07	,Validation accuracy (MAE): -7.53421e+07	,Training accuracy (MRAE): 0.675672	,Validation accuracy (MRAE): 0.13761
Epoch: 320	,Training loss (MRSE): 0.230421	,Validation loss (MRSE): 0.78383	,Training loss (MSE): 1.80335e+16	,Validation loss (MSE): 1.92986e+17	,Training accuracy (MAE): -1.86379e+07	,Validation accuracy (MAE): -7.51671e+07	,Training accuracy (MRAE): 0.603155	,Validation accuracy (MRAE): 0.154172
Epoch: 328	,Training loss (MRSE): 0.189359	,Validation loss (MRSE): 0.814721	,Training loss (MSE): 6.12656e+16	,Validation loss (MSE): 1.92842e+17	,Training accuracy (MAE): -3.55232e+07	,Validation accuracy (MAE): -7.55869e+07	,Training accuracy (MRAE): 0.647089	,Validation accuracy (MRAE): 0.127439
Epoch: 336	,Training loss (MRSE): 0.267523	,Validation loss (MRSE): 0.788979	,Training loss (MSE): 1.54426e+17	,Validation loss (MSE): 1.93002e+17	,Training accuracy (MAE): -3.13069e+07	,Validation accuracy (MAE): -7.50564e+07	,Training accuracy (MRAE): 0.56113	,Validation accuracy (MRAE): 0.147891
Epoch: 344	,Training loss (MRSE): 0.184533	,Validation loss (MRSE): 0.812967	,Training loss (MSE): 4.48068e+17	,Validation loss (MSE): 1.92849e+17	,Training accuracy (MAE): -9.73655e+07	,Validation accuracy (MAE): -7.54671e+07	,Training accuracy (MRAE): 0.646222	,Validation accuracy (MRAE): 0.127153
Epoch: 352	,Training loss (MRSE): 0.142065	,Validation loss (MRSE): 0.816448	,Training loss (MSE): 1.4237e+16	,Validation loss (MSE): 1.92865e+17	,Training accuracy (MAE): -1.64787e+07	,Validation accuracy (MAE): -7.53861e+07	,Training accuracy (MRAE): 0.71237	,Validation accuracy (MRAE): 0.125632
Epoch: 360	,Training loss (MRSE): 0.168237	,Validation loss (MRSE): 0.813196	,Training loss (MSE): 8.97272e+15	,Validation loss (MSE): 1.92902e+17	,Training accuracy (MAE): -1.23352e+07	,Validation accuracy (MAE): -7.52209e+07	,Training accuracy (MRAE): 0.68877	,Validation accuracy (MRAE): 0.13326
Epoch: 368	,Training loss (MRSE): 0.13367	,Validation loss (MRSE): 0.809665	,Training loss (MSE): 5.51828e+15	,Validation loss (MSE): 1.92854e+17	,Training accuracy (MAE): -1.01653e+07	,Validation accuracy (MAE): -7.52832e+07	,Training accuracy (MRAE): 0.718742	,Validation accuracy (MRAE): 0.131489
Epoch: 376	,Training loss (MRSE): 0.128542	,Validation loss (MRSE): 0.80325	,Training loss (MSE): 4.32725e+15	,Validation loss (MSE): 1.92903e+17	,Training accuracy (MAE): -1.04003e+07	,Validation accuracy (MAE): -7.53105e+07	,Training accuracy (MRAE): 0.740155	,Validation accuracy (MRAE): 0.137092
Epoch: 384	,Training loss (MRSE): 0.121895	,Validation loss (MRSE): 0.806469	,Training loss (MSE): 4.2695e+15	,Validation loss (MSE): 1.92898e+17	,Training accuracy (MAE): -9.40514e+06	,Validation accuracy (MAE): -7.52982e+07	,Training accuracy (MRAE): 0.75346	,Validation accuracy (MRAE): 0.136356
Epoch: 392	,Training loss (MRSE): 0.210328	,Validation loss (MRSE): 0.813315	,Training loss (MSE): 2.4707e+16	,Validation loss (MSE): 1.92802e+17	,Training accuracy (MAE): -2.17697e+07	,Validation accuracy (MAE): -7.54113e+07	,Training accuracy (MRAE): 0.619475	,Validation accuracy (MRAE): 0.124114
Epoch: 400	,Training loss (MRSE): 0.213868	,Validation loss (MRSE): 0.80289	,Training loss (MSE): 8.08008e+15	,Validation loss (MSE): 1.93004e+17	,Training accuracy (MAE): -1.20085e+07	,Validation accuracy (MAE): -7.51901e+07	,Training accuracy (MRAE): 0.639291	,Validation accuracy (MRAE): 0.13868
Epoch: 408	,Training loss (MRSE): 0.118943	,Validation loss (MRSE): 0.81085	,Training loss (MSE): 2.41863e+16	,Validation loss (MSE): 1.9287e+17	,Training accuracy (MAE): -2.19125e+07	,Validation accuracy (MAE): -7.54539e+07	,Training accuracy (MRAE): 0.744312	,Validation accuracy (MRAE): 0.132422
Epoch: 416	,Training loss (MRSE): 0.165626	,Validation loss (MRSE): 0.814619	,Training loss (MSE): 2.20231e+16	,Validation loss (MSE): 1.92893e+17	,Training accuracy (MAE): -2.06039e+07	,Validation accuracy (MAE): -7.5258e+07	,Training accuracy (MRAE): 0.666037	,Validation accuracy (MRAE): 0.129844
Epoch: 424	,Training loss (MRSE): 0.199935	,Validation loss (MRSE): 0.800999	,Training loss (MSE): 3.53909e+16	,Validation loss (MSE): 1.92958e+17	,Training accuracy (MAE): -2.73287e+07	,Validation accuracy (MAE): -7.53687e+07	,Training accuracy (MRAE): 0.617937	,Validation accuracy (MRAE): 0.140863
Epoch: 432	,Training loss (MRSE): 0.153475	,Validation loss (MRSE): 0.801329	,Training loss (MSE): 1.16474e+16	,Validation loss (MSE): 1.92964e+17	,Training accuracy (MAE): -1.40558e+07	,Validation accuracy (MAE): -7.53751e+07	,Training accuracy (MRAE): 0.695399	,Validation accuracy (MRAE): 0.137085
Epoch: 440	,Training loss (MRSE): 0.108068	,Validation loss (MRSE): 0.819615	,Training loss (MSE): 8.75119e+15	,Validation loss (MSE): 1.92751e+17	,Training accuracy (MAE): -1.13276e+07	,Validation accuracy (MAE): -7.54301e+07	,Training accuracy (MRAE): 0.764302	,Validation accuracy (MRAE): 0.123404
Epoch: 448	,Training loss (MRSE): 0.203322	,Validation loss (MRSE): 0.792141	,Training loss (MSE): 1.55332e+16	,Validation loss (MSE): 1.92961e+17	,Training accuracy (MAE): -1.72605e+07	,Validation accuracy (MAE): -7.50632e+07	,Training accuracy (MRAE): 0.599358	,Validation accuracy (MRAE): 0.149058
Epoch: 456	,Training loss (MRSE): 0.111777	,Validation loss (MRSE): 0.816573	,Training loss (MSE): 8.61099e+15	,Validation loss (MSE): 1.92885e+17	,Training accuracy (MAE): -1.07968e+07	,Validation accuracy (MAE): -7.53571e+07	,Training accuracy (MRAE): 0.754487	,Validation accuracy (MRAE): 0.125489
Epoch: 464	,Training loss (MRSE): 0.170492	,Validation loss (MRSE): 0.801765	,Training loss (MSE): 1.36587e+16	,Validation loss (MSE): 1.92858e+17	,Training accuracy (MAE): -1.59652e+07	,Validation accuracy (MAE): -7.51037e+07	,Training accuracy (MRAE): 0.68655	,Validation accuracy (MRAE): 0.144319
Epoch: 472	,Training loss (MRSE): 0.187857	,Validation loss (MRSE): 0.804264	,Training loss (MSE): 1.15138e+16	,Validation loss (MSE): 1.92907e+17	,Training accuracy (MAE): -1.40205e+07	,Validation accuracy (MAE): -7.51805e+07	,Training accuracy (MRAE): 0.651514	,Validation accuracy (MRAE): 0.136464
Epoch: 480	,Training loss (MRSE): 0.104615	,Validation loss (MRSE): 0.816199	,Training loss (MSE): 4.7634e+15	,Validation loss (MSE): 1.92836e+17	,Training accuracy (MAE): -8.47106e+06	,Validation accuracy (MAE): -7.54824e+07	,Training accuracy (MRAE): 0.768451	,Validation accuracy (MRAE): 0.125731
Epoch: 488	,Training loss (MRSE): 0.0966305	,Validation loss (MRSE): 0.819415	,Training loss (MSE): 1.19417e+16	,Validation loss (MSE): 1.92804e+17	,Training accuracy (MAE): -1.44955e+07	,Validation accuracy (MAE): -7.53799e+07	,Training accuracy (MRAE): 0.782693	,Validation accuracy (MRAE): 0.120257
Epoch: 496	,Training loss (MRSE): 0.161801	,Validation loss (MRSE): 0.793624	,Training loss (MSE): 1.85878e+16	,Validation loss (MSE): 1.92939e+17	,Training accuracy (MAE): -1.94661e+07	,Validation accuracy (MAE): -7.522e+07	,Training accuracy (MRAE): 0.663845	,Validation accuracy (MRAE): 0.150334
Epoch: 504	,Training loss (MRSE): 0.192995	,Validation loss (MRSE): 0.822992	,Training loss (MSE): 4.97114e+16	,Validation loss (MSE): 1.92854e+17	,Training accuracy (MAE): -3.14388e+07	,Validation accuracy (MAE): -7.5114e+07	,Training accuracy (MRAE): 0.639774	,Validation accuracy (MRAE): 0.120363
Epoch: 512	,Training loss (MRSE): 0.135596	,Validation loss (MRSE): 0.823857	,Training loss (MSE): 7.77809e+16	,Validation loss (MSE): 1.92715e+17	,Training accuracy (MAE): -3.95731e+07	,Validation accuracy (MAE): -7.56525e+07	,Training accuracy (MRAE): 0.707423	,Validation accuracy (MRAE): 0.120578
Epoch: 520	,Training loss (MRSE): 0.194682	,Validation loss (MRSE): 0.821153	,Training loss (MSE): 1.01621e+17	,Validation loss (MSE): 1.92977e+17	,Training accuracy (MAE): -3.33521e+07	,Validation accuracy (MAE): -7.53432e+07	,Training accuracy (MRAE): 0.640251	,Validation accuracy (MRAE): 0.123558
Epoch: 528	,Training loss (MRSE): 0.178125	,Validation loss (MRSE): 0.820181	,Training loss (MSE): 1.98657e+16	,Validation loss (MSE): 1.92838e+17	,Training accuracy (MAE): -1.95728e+07	,Validation accuracy (MAE): -7.53322e+07	,Training accuracy (MRAE): 0.668436	,Validation accuracy (MRAE): 0.123736
Epoch: 536	,Training loss (MRSE): 0.0949135	,Validation loss (MRSE): 0.808331	,Training loss (MSE): 3.95116e+15	,Validation loss (MSE): 1.92672e+17	,Training accuracy (MAE): -8.91595e+06	,Validation accuracy (MAE): -7.55713e+07	,Training accuracy (MRAE): 0.793038	,Validation accuracy (MRAE): 0.135758
Epoch: 544	,Training loss (MRSE): 0.103829	,Validation loss (MRSE): 0.820116	,Training loss (MSE): 2.10361e+16	,Validation loss (MSE): 1.92863e+17	,Training accuracy (MAE): -1.97061e+07	,Validation accuracy (MAE): -7.56283e+07	,Training accuracy (MRAE): 0.772393	,Validation accuracy (MRAE): 0.124211
Epoch: 552	,Training loss (MRSE): 0.142706	,Validation loss (MRSE): 0.811152	,Training loss (MSE): 3.29523e+15	,Validation loss (MSE): 1.92929e+17	,Training accuracy (MAE): -7.04953e+06	,Validation accuracy (MAE): -7.54934e+07	,Training accuracy (MRAE): 0.728772	,Validation accuracy (MRAE): 0.126717
Epoch: 560	,Training loss (MRSE): 0.144223	,Validation loss (MRSE): 0.836345	,Training loss (MSE): 6.63225e+16	,Validation loss (MSE): 1.92556e+17	,Training accuracy (MAE): -2.18206e+07	,Validation accuracy (MAE): -7.58374e+07	,Training accuracy (MRAE): 0.699639	,Validation accuracy (MRAE): 0.112327
Epoch: 568	,Training loss (MRSE): 0.107422	,Validation loss (MRSE): 0.813447	,Training loss (MSE): 6.30555e+15	,Validation loss (MSE): 1.92671e+17	,Training accuracy (MAE): -1.00377e+07	,Validation accuracy (MAE): -7.56308e+07	,Training accuracy (MRAE): 0.759008	,Validation accuracy (MRAE): 0.128088
Epoch: 576	,Training loss (MRSE): 0.12018	,Validation loss (MRSE): 0.823172	,Training loss (MSE): 4.26468e+16	,Validation loss (MSE): 1.92864e+17	,Training accuracy (MAE): -3.06496e+07	,Validation accuracy (MAE): -7.57049e+07	,Training accuracy (MRAE): 0.719695	,Validation accuracy (MRAE): 0.118681
Epoch: 584	,Training loss (MRSE): 0.0989922	,Validation loss (MRSE): 0.814233	,Training loss (MSE): 5.1251e+15	,Validation loss (MSE): 1.92905e+17	,Training accuracy (MAE): -8.60533e+06	,Validation accuracy (MAE): -7.5561e+07	,Training accuracy (MRAE): 0.770239	,Validation accuracy (MRAE): 0.129015
Epoch: 592	,Training loss (MRSE): 0.252907	,Validation loss (MRSE): 0.822041	,Training loss (MSE): 1.1558e+16	,Validation loss (MSE): 1.92981e+17	,Training accuracy (MAE): -1.40155e+07	,Validation accuracy (MAE): -7.53566e+07	,Training accuracy (MRAE): 0.590919	,Validation accuracy (MRAE): 0.120862
Epoch: 600	,Training loss (MRSE): 0.30421	,Validation loss (MRSE): 0.826272	,Training loss (MSE): 1.09228e+17	,Validation loss (MSE): 1.92281e+17	,Training accuracy (MAE): -4.9259e+07	,Validation accuracy (MAE): -7.60681e+07	,Training accuracy (MRAE): 0.492771	,Validation accuracy (MRAE): 0.116261
Epoch: 608	,Training loss (MRSE): 0.15625	,Validation loss (MRSE): 0.823559	,Training loss (MSE): 2.18981e+16	,Validation loss (MSE): 1.92686e+17	,Training accuracy (MAE): -2.12754e+07	,Validation accuracy (MAE): -7.57428e+07	,Training accuracy (MRAE): 0.680107	,Validation accuracy (MRAE): 0.117808
Epoch: 616	,Training loss (MRSE): 0.125324	,Validation loss (MRSE): 0.829049	,Training loss (MSE): 9.76011e+15	,Validation loss (MSE): 1.9261e+17	,Training accuracy (MAE): -1.25742e+07	,Validation accuracy (MAE): -7.56458e+07	,Training accuracy (MRAE): 0.74655	,Validation accuracy (MRAE): 0.111547
Epoch: 624	,Training loss (MRSE): 0.117171	,Validation loss (MRSE): 0.822497	,Training loss (MSE): 5.22372e+15	,Validation loss (MSE): 1.92908e+17	,Training accuracy (MAE): -8.9879e+06	,Validation accuracy (MAE): -7.57262e+07	,Training accuracy (MRAE): 0.743734	,Validation accuracy (MRAE): 0.118866
Epoch: 632	,Training loss (MRSE): 0.248785	,Validation loss (MRSE): 0.842746	,Training loss (MSE): 6.49229e+17	,Validation loss (MSE): 1.92664e+17	,Training accuracy (MAE): -1.14373e+08	,Validation accuracy (MAE): -7.66272e+07	,Training accuracy (MRAE): 0.5506	,Validation accuracy (MRAE): 0.100493
Epoch: 640	,Training loss (MRSE): 0.0989634	,Validation loss (MRSE): 0.814986	,Training loss (MSE): 2.90506e+15	,Validation loss (MSE): 1.9268e+17	,Training accuracy (MAE): -7.20869e+06	,Validation accuracy (MAE): -7.58683e+07	,Training accuracy (MRAE): 0.772876	,Validation accuracy (MRAE): 0.126176
Epoch: 648	,Training loss (MRSE): 0.0785293	,Validation loss (MRSE): 0.829862	,Training loss (MSE): 6.36822e+15	,Validation loss (MSE): 1.92833e+17	,Training accuracy (MAE): -1.01375e+07	,Validation accuracy (MAE): -7.56732e+07	,Training accuracy (MRAE): 0.799719	,Validation accuracy (MRAE): 0.11691
Epoch: 656	,Training loss (MRSE): 0.0871548	,Validation loss (MRSE): 0.827623	,Training loss (MSE): 2.36506e+16	,Validation loss (MSE): 1.9278e+17	,Training accuracy (MAE): -1.77168e+07	,Validation accuracy (MAE): -7.5845e+07	,Training accuracy (MRAE): 0.785248	,Validation accuracy (MRAE): 0.1183
Epoch: 664	,Training loss (MRSE): 0.146252	,Validation loss (MRSE): 0.813979	,Training loss (MSE): 6.53659e+15	,Validation loss (MSE): 1.92908e+17	,Training accuracy (MAE): -9.53327e+06	,Validation accuracy (MAE): -7.56428e+07	,Training accuracy (MRAE): 0.685604	,Validation accuracy (MRAE): 0.125728
