Epoch: 0,	Training loss (MRSE): 0.823588	,Validation loss (MRSE): 0.805589	,Training loss (MSE): 5.53848e+17	,Validation loss (MSE): 6.98209e+17	,Training accuracy (MAE): -2.57638e+08	,Validation accuracy (MAE): -3.17027e+08	,Training accuracy (MRAE): 0.11933	,Validation accuracy (MRAE): 0.131696
Epoch: 22,	Training loss (MRSE): 0.677191	,Validation loss (MRSE): 0.729982	,Training loss (MSE): 1.46816e+17	,Validation loss (MSE): 9.88142e+16	,Training accuracy (MAE): -6.78002e+07	,Validation accuracy (MAE): -5.03388e+07	,Training accuracy (MRAE): 0.21745	,Validation accuracy (MRAE): 0.177589
Epoch: 24,	Training loss (MRSE): 0.663027	,Validation loss (MRSE): 0.749838	,Training loss (MSE): 9.33548e+16	,Validation loss (MSE): 2.06638e+16	,Training accuracy (MAE): -4.83814e+07	,Validation accuracy (MAE): -2.72046e+07	,Training accuracy (MRAE): 0.229103	,Validation accuracy (MRAE): 0.162988
Epoch: 26,	Training loss (MRSE): 0.664049	,Validation loss (MRSE): 0.713595	,Training loss (MSE): 1.00257e+17	,Validation loss (MSE): 1.04024e+17	,Training accuracy (MAE): -6.47544e+07	,Validation accuracy (MAE): -9.18779e+07	,Training accuracy (MRAE): 0.227679	,Validation accuracy (MRAE): 0.200372
Epoch: 28,	Training loss (MRSE): 0.692321	,Validation loss (MRSE): 0.766771	,Training loss (MSE): 1.28869e+17	,Validation loss (MSE): 7.58453e+16	,Training accuracy (MAE): -6.05254e+07	,Validation accuracy (MAE): -5.61639e+07	,Training accuracy (MRAE): 0.20726	,Validation accuracy (MRAE): 0.154136
Epoch: 30,	Training loss (MRSE): 0.652278	,Validation loss (MRSE): 0.699363	,Training loss (MSE): 9.38974e+16	,Validation loss (MSE): 3.15395e+16	,Training accuracy (MAE): -4.87846e+07	,Validation accuracy (MAE): -3.40182e+07	,Training accuracy (MRAE): 0.233191	,Validation accuracy (MRAE): 0.20946
Epoch: 32,	Training loss (MRSE): 0.646864	,Validation loss (MRSE): 0.708206	,Training loss (MSE): 1.21312e+17	,Validation loss (MSE): 3.74868e+16	,Training accuracy (MAE): -5.57881e+07	,Validation accuracy (MAE): -3.25816e+07	,Training accuracy (MRAE): 0.238714	,Validation accuracy (MRAE): 0.189969
Epoch: 34,	Training loss (MRSE): 0.694142	,Validation loss (MRSE): 0.728002	,Training loss (MSE): 1.26342e+17	,Validation loss (MSE): 2.55472e+16	,Training accuracy (MAE): -6.06385e+07	,Validation accuracy (MAE): -2.9984e+07	,Training accuracy (MRAE): 0.20361	,Validation accuracy (MRAE): 0.181003
Epoch: 36,	Training loss (MRSE): 0.668691	,Validation loss (MRSE): 0.735211	,Training loss (MSE): 1.05863e+17	,Validation loss (MSE): 1.5203e+16	,Training accuracy (MAE): -5.18893e+07	,Validation accuracy (MAE): -2.3083e+07	,Training accuracy (MRAE): 0.223188	,Validation accuracy (MRAE): 0.184495
Epoch: 38,	Training loss (MRSE): 0.604904	,Validation loss (MRSE): 0.695482	,Training loss (MSE): 1.0607e+17	,Validation loss (MSE): 3.9468e+16	,Training accuracy (MAE): -5.2054e+07	,Validation accuracy (MAE): -4.06695e+07	,Training accuracy (MRAE): 0.268763	,Validation accuracy (MRAE): 0.207074
Epoch: 40,	Training loss (MRSE): 0.635408	,Validation loss (MRSE): 0.760675	,Training loss (MSE): 1.00094e+17	,Validation loss (MSE): 3.11359e+16	,Training accuracy (MAE): -4.89402e+07	,Validation accuracy (MAE): -3.94229e+07	,Training accuracy (MRAE): 0.246883	,Validation accuracy (MRAE): 0.161442
Epoch: 42,	Training loss (MRSE): 0.64245	,Validation loss (MRSE): 0.700668	,Training loss (MSE): 1.28401e+17	,Validation loss (MSE): 3.73646e+16	,Training accuracy (MAE): -5.54093e+07	,Validation accuracy (MAE): -3.8072e+07	,Training accuracy (MRAE): 0.251738	,Validation accuracy (MRAE): 0.208272
Epoch: 44,	Training loss (MRSE): 0.616021	,Validation loss (MRSE): 0.70189	,Training loss (MSE): 1.04587e+17	,Validation loss (MSE): 4.44189e+16	,Training accuracy (MAE): -4.81438e+07	,Validation accuracy (MAE): -4.04589e+07	,Training accuracy (MRAE): 0.261121	,Validation accuracy (MRAE): 0.204862
Epoch: 46,	Training loss (MRSE): 0.612351	,Validation loss (MRSE): 0.734267	,Training loss (MSE): 8.7972e+16	,Validation loss (MSE): 3.17331e+16	,Training accuracy (MAE): -4.52481e+07	,Validation accuracy (MAE): -4.03815e+07	,Training accuracy (MRAE): 0.265633	,Validation accuracy (MRAE): 0.184307
Epoch: 48,	Training loss (MRSE): 0.58618	,Validation loss (MRSE): 0.696023	,Training loss (MSE): 7.84493e+16	,Validation loss (MSE): 2.36436e+16	,Training accuracy (MAE): -4.22869e+07	,Validation accuracy (MAE): -3.76055e+07	,Training accuracy (MRAE): 0.283789	,Validation accuracy (MRAE): 0.21377
Epoch: 50,	Training loss (MRSE): 0.636056	,Validation loss (MRSE): 0.731436	,Training loss (MSE): 8.51917e+16	,Validation loss (MSE): 2.6487e+16	,Training accuracy (MAE): -4.52043e+07	,Validation accuracy (MAE): -3.12808e+07	,Training accuracy (MRAE): 0.243813	,Validation accuracy (MRAE): 0.181967
Epoch: 52,	Training loss (MRSE): 0.635913	,Validation loss (MRSE): 0.731889	,Training loss (MSE): 9.45566e+16	,Validation loss (MSE): 6.58862e+16	,Training accuracy (MAE): -4.88335e+07	,Validation accuracy (MAE): -5.16455e+07	,Training accuracy (MRAE): 0.247126	,Validation accuracy (MRAE): 0.185826
Epoch: 54,	Training loss (MRSE): 0.659571	,Validation loss (MRSE): 0.734439	,Training loss (MSE): 8.94283e+16	,Validation loss (MSE): 5.1703e+16	,Training accuracy (MAE): -4.78043e+07	,Validation accuracy (MAE): -4.65116e+07	,Training accuracy (MRAE): 0.227264	,Validation accuracy (MRAE): 0.180113
Epoch: 56,	Training loss (MRSE): 0.643327	,Validation loss (MRSE): 0.7182	,Training loss (MSE): 8.92802e+16	,Validation loss (MSE): 7.70017e+16	,Training accuracy (MAE): -4.91786e+07	,Validation accuracy (MAE): -5.90475e+07	,Training accuracy (MRAE): 0.241673	,Validation accuracy (MRAE): 0.186933
Epoch: 58,	Training loss (MRSE): 0.627095	,Validation loss (MRSE): 0.736764	,Training loss (MSE): 7.35499e+16	,Validation loss (MSE): 7.77094e+16	,Training accuracy (MAE): -4.29293e+07	,Validation accuracy (MAE): -5.95108e+07	,Training accuracy (MRAE): 0.256782	,Validation accuracy (MRAE): 0.172383
Epoch: 60,	Training loss (MRSE): 0.637362	,Validation loss (MRSE): 0.733508	,Training loss (MSE): 1.40593e+17	,Validation loss (MSE): 1.05634e+17	,Training accuracy (MAE): -5.87231e+07	,Validation accuracy (MAE): -6.45787e+07	,Training accuracy (MRAE): 0.245897	,Validation accuracy (MRAE): 0.181208
Epoch: 62,	Training loss (MRSE): 0.648287	,Validation loss (MRSE): 0.727953	,Training loss (MSE): 1.08046e+17	,Validation loss (MSE): 9.07221e+16	,Training accuracy (MAE): -5.1802e+07	,Validation accuracy (MAE): -5.53483e+07	,Training accuracy (MRAE): 0.237382	,Validation accuracy (MRAE): 0.175747
Epoch: 64,	Training loss (MRSE): 0.642919	,Validation loss (MRSE): 0.731481	,Training loss (MSE): 7.57617e+16	,Validation loss (MSE): 1.0788e+17	,Training accuracy (MAE): -4.05549e+07	,Validation accuracy (MAE): -5.14911e+07	,Training accuracy (MRAE): 0.246014	,Validation accuracy (MRAE): 0.187284
Epoch: 66,	Training loss (MRSE): 0.58482	,Validation loss (MRSE): 0.737428	,Training loss (MSE): 5.73137e+16	,Validation loss (MSE): 1.12277e+17	,Training accuracy (MAE): -3.42207e+07	,Validation accuracy (MAE): -6.24173e+07	,Training accuracy (MRAE): 0.28729	,Validation accuracy (MRAE): 0.182068
Epoch: 68,	Training loss (MRSE): 0.589353	,Validation loss (MRSE): 0.715212	,Training loss (MSE): 5.77716e+16	,Validation loss (MSE): 1.27519e+17	,Training accuracy (MAE): -3.46554e+07	,Validation accuracy (MAE): -7.32997e+07	,Training accuracy (MRAE): 0.288041	,Validation accuracy (MRAE): 0.20151
Epoch: 70,	Training loss (MRSE): 0.622373	,Validation loss (MRSE): 0.749346	,Training loss (MSE): 8.32533e+16	,Validation loss (MSE): 1.17692e+17	,Training accuracy (MAE): -4.40733e+07	,Validation accuracy (MAE): -6.59917e+07	,Training accuracy (MRAE): 0.256893	,Validation accuracy (MRAE): 0.161898
Epoch: 72,	Training loss (MRSE): 0.643101	,Validation loss (MRSE): 0.72456	,Training loss (MSE): 1.10677e+17	,Validation loss (MSE): 1.1463e+17	,Training accuracy (MAE): -5.20578e+07	,Validation accuracy (MAE): -5.93888e+07	,Training accuracy (MRAE): 0.245368	,Validation accuracy (MRAE): 0.185318
Epoch: 74,	Training loss (MRSE): 0.598204	,Validation loss (MRSE): 0.745485	,Training loss (MSE): 1.04307e+17	,Validation loss (MSE): 1.21741e+17	,Training accuracy (MAE): -4.8619e+07	,Validation accuracy (MAE): -7.04569e+07	,Training accuracy (MRAE): 0.276901	,Validation accuracy (MRAE): 0.168375
Epoch: 76,	Training loss (MRSE): 0.584174	,Validation loss (MRSE): 0.740012	,Training loss (MSE): 7.07578e+16	,Validation loss (MSE): 1.4236e+17	,Training accuracy (MAE): -4.50101e+07	,Validation accuracy (MAE): -7.87454e+07	,Training accuracy (MRAE): 0.286457	,Validation accuracy (MRAE): 0.177329
Epoch: 78,	Training loss (MRSE): 0.618986	,Validation loss (MRSE): 0.735541	,Training loss (MSE): 6.93359e+16	,Validation loss (MSE): 1.17864e+17	,Training accuracy (MAE): -3.9645e+07	,Validation accuracy (MAE): -6.92701e+07	,Training accuracy (MRAE): 0.260837	,Validation accuracy (MRAE): 0.174719
Epoch: 80,	Training loss (MRSE): 0.579436	,Validation loss (MRSE): 0.721033	,Training loss (MSE): 8.04648e+16	,Validation loss (MSE): 1.10484e+17	,Training accuracy (MAE): -4.40187e+07	,Validation accuracy (MAE): -6.19252e+07	,Training accuracy (MRAE): 0.293166	,Validation accuracy (MRAE): 0.191552
Epoch: 82,	Training loss (MRSE): 0.588365	,Validation loss (MRSE): 0.72883	,Training loss (MSE): 7.59374e+16	,Validation loss (MSE): 9.67291e+16	,Training accuracy (MAE): -4.01185e+07	,Validation accuracy (MAE): -4.93549e+07	,Training accuracy (MRAE): 0.283352	,Validation accuracy (MRAE): 0.188618
Epoch: 84,	Training loss (MRSE): 0.611175	,Validation loss (MRSE): 0.743101	,Training loss (MSE): 7.62361e+16	,Validation loss (MSE): 1.04402e+17	,Training accuracy (MAE): -4.01153e+07	,Validation accuracy (MAE): -5.05665e+07	,Training accuracy (MRAE): 0.270072	,Validation accuracy (MRAE): 0.17125
Epoch: 86,	Training loss (MRSE): 0.539467	,Validation loss (MRSE): 0.714579	,Training loss (MSE): 7.0348e+16	,Validation loss (MSE): 1.09106e+17	,Training accuracy (MAE): -3.9157e+07	,Validation accuracy (MAE): -5.47023e+07	,Training accuracy (MRAE): 0.320559	,Validation accuracy (MRAE): 0.188556
Epoch: 88,	Training loss (MRSE): 0.519429	,Validation loss (MRSE): 0.688052	,Training loss (MSE): 8.48606e+16	,Validation loss (MSE): 1.04484e+17	,Training accuracy (MAE): -4.45857e+07	,Validation accuracy (MAE): -5.01429e+07	,Training accuracy (MRAE): 0.336469	,Validation accuracy (MRAE): 0.208236
Epoch: 90,	Training loss (MRSE): 0.536553	,Validation loss (MRSE): 0.681904	,Training loss (MSE): 7.79996e+16	,Validation loss (MSE): 1.11086e+17	,Training accuracy (MAE): -4.3219e+07	,Validation accuracy (MAE): -5.75373e+07	,Training accuracy (MRAE): 0.322504	,Validation accuracy (MRAE): 0.220682
Epoch: 92,	Training loss (MRSE): 0.546504	,Validation loss (MRSE): 0.715762	,Training loss (MSE): 6.40382e+16	,Validation loss (MSE): 1.14564e+17	,Training accuracy (MAE): -3.86578e+07	,Validation accuracy (MAE): -5.54794e+07	,Training accuracy (MRAE): 0.310205	,Validation accuracy (MRAE): 0.19152
Epoch: 94,	Training loss (MRSE): 0.569378	,Validation loss (MRSE): 0.686911	,Training loss (MSE): 7.04479e+16	,Validation loss (MSE): 1.01548e+17	,Training accuracy (MAE): -3.88306e+07	,Validation accuracy (MAE): -4.80265e+07	,Training accuracy (MRAE): 0.298575	,Validation accuracy (MRAE): 0.221437
Epoch: 96,	Training loss (MRSE): 0.527919	,Validation loss (MRSE): 0.665615	,Training loss (MSE): 6.33611e+16	,Validation loss (MSE): 1.08928e+17	,Training accuracy (MAE): -3.57778e+07	,Validation accuracy (MAE): -6.38029e+07	,Training accuracy (MRAE): 0.335807	,Validation accuracy (MRAE): 0.242479
Epoch: 98,	Training loss (MRSE): 0.552423	,Validation loss (MRSE): 0.706497	,Training loss (MSE): 6.29964e+16	,Validation loss (MSE): 1.45737e+17	,Training accuracy (MAE): -3.74354e+07	,Validation accuracy (MAE): -7.59546e+07	,Training accuracy (MRAE): 0.306634	,Validation accuracy (MRAE): 0.194985
Epoch: 100,	Training loss (MRSE): 0.531398	,Validation loss (MRSE): 0.706663	,Training loss (MSE): 7.71588e+16	,Validation loss (MSE): 1.29005e+17	,Training accuracy (MAE): -4.089e+07	,Validation accuracy (MAE): -6.64975e+07	,Training accuracy (MRAE): 0.323823	,Validation accuracy (MRAE): 0.201286
Epoch: 102,	Training loss (MRSE): 0.51632	,Validation loss (MRSE): 0.68464	,Training loss (MSE): 7.07237e+16	,Validation loss (MSE): 1.3273e+17	,Training accuracy (MAE): -4.22177e+07	,Validation accuracy (MAE): -6.61688e+07	,Training accuracy (MRAE): 0.333411	,Validation accuracy (MRAE): 0.221792
Epoch: 104,	Training loss (MRSE): 0.510512	,Validation loss (MRSE): 0.680514	,Training loss (MSE): 6.37738e+16	,Validation loss (MSE): 1.18158e+17	,Training accuracy (MAE): -3.68871e+07	,Validation accuracy (MAE): -5.89388e+07	,Training accuracy (MRAE): 0.342996	,Validation accuracy (MRAE): 0.220615
Epoch: 106,	Training loss (MRSE): 0.527232	,Validation loss (MRSE): 0.703642	,Training loss (MSE): 8.19892e+16	,Validation loss (MSE): 1.48376e+17	,Training accuracy (MAE): -4.32174e+07	,Validation accuracy (MAE): -6.58132e+07	,Training accuracy (MRAE): 0.331359	,Validation accuracy (MRAE): 0.19821
Epoch: 108,	Training loss (MRSE): 0.597768	,Validation loss (MRSE): 0.711907	,Training loss (MSE): 9.97548e+16	,Validation loss (MSE): 1.13607e+17	,Training accuracy (MAE): -4.77234e+07	,Validation accuracy (MAE): -5.50593e+07	,Training accuracy (MRAE): 0.274167	,Validation accuracy (MRAE): 0.193963
Epoch: 110,	Training loss (MRSE): 0.581113	,Validation loss (MRSE): 0.684705	,Training loss (MSE): 8.6644e+16	,Validation loss (MSE): 1.18402e+17	,Training accuracy (MAE): -4.4721e+07	,Validation accuracy (MAE): -5.32451e+07	,Training accuracy (MRAE): 0.285633	,Validation accuracy (MRAE): 0.215539
Epoch: 112,	Training loss (MRSE): 0.560969	,Validation loss (MRSE): 0.697763	,Training loss (MSE): 7.47543e+16	,Validation loss (MSE): 1.17462e+17	,Training accuracy (MAE): -4.04607e+07	,Validation accuracy (MAE): -4.9521e+07	,Training accuracy (MRAE): 0.300112	,Validation accuracy (MRAE): 0.205214
Epoch: 114,	Training loss (MRSE): 0.562804	,Validation loss (MRSE): 0.668293	,Training loss (MSE): 7.11335e+16	,Validation loss (MSE): 1.20179e+17	,Training accuracy (MAE): -3.99347e+07	,Validation accuracy (MAE): -5.11326e+07	,Training accuracy (MRAE): 0.297985	,Validation accuracy (MRAE): 0.23021
Epoch: 116,	Training loss (MRSE): 0.51415	,Validation loss (MRSE): 0.645571	,Training loss (MSE): 7.78813e+16	,Validation loss (MSE): 1.13316e+17	,Training accuracy (MAE): -4.28633e+07	,Validation accuracy (MAE): -5.04971e+07	,Training accuracy (MRAE): 0.332898	,Validation accuracy (MRAE): 0.249537
Epoch: 118,	Training loss (MRSE): 0.514273	,Validation loss (MRSE): 0.666252	,Training loss (MSE): 6.9474e+16	,Validation loss (MSE): 1.01888e+17	,Training accuracy (MAE): -3.91738e+07	,Validation accuracy (MAE): -4.66969e+07	,Training accuracy (MRAE): 0.339149	,Validation accuracy (MRAE): 0.226825
Epoch: 120,	Training loss (MRSE): 0.514158	,Validation loss (MRSE): 0.659296	,Training loss (MSE): 7.31286e+16	,Validation loss (MSE): 1.04472e+17	,Training accuracy (MAE): -3.86024e+07	,Validation accuracy (MAE): -4.46287e+07	,Training accuracy (MRAE): 0.34301	,Validation accuracy (MRAE): 0.22977
Epoch: 122,	Training loss (MRSE): 0.526177	,Validation loss (MRSE): 0.690389	,Training loss (MSE): 6.68619e+16	,Validation loss (MSE): 1.03459e+17	,Training accuracy (MAE): -3.74448e+07	,Validation accuracy (MAE): -4.45161e+07	,Training accuracy (MRAE): 0.337639	,Validation accuracy (MRAE): 0.213302
Epoch: 124,	Training loss (MRSE): 0.538391	,Validation loss (MRSE): 0.696228	,Training loss (MSE): 6.0457e+16	,Validation loss (MSE): 1.12871e+17	,Training accuracy (MAE): -3.48956e+07	,Validation accuracy (MAE): -5.24038e+07	,Training accuracy (MRAE): 0.322785	,Validation accuracy (MRAE): 0.200741
Epoch: 126,	Training loss (MRSE): 0.551913	,Validation loss (MRSE): 0.680529	,Training loss (MSE): 7.47839e+16	,Validation loss (MSE): 1.08436e+17	,Training accuracy (MAE): -4.06906e+07	,Validation accuracy (MAE): -4.59608e+07	,Training accuracy (MRAE): 0.313015	,Validation accuracy (MRAE): 0.219979
Epoch: 128,	Training loss (MRSE): 0.569246	,Validation loss (MRSE): 0.741436	,Training loss (MSE): 7.36639e+16	,Validation loss (MSE): 1.1308e+17	,Training accuracy (MAE): -4.24272e+07	,Validation accuracy (MAE): -4.8724e+07	,Training accuracy (MRAE): 0.300077	,Validation accuracy (MRAE): 0.1687
Epoch: 130,	Training loss (MRSE): 0.543361	,Validation loss (MRSE): 0.70666	,Training loss (MSE): 8.27364e+16	,Validation loss (MSE): 1.18952e+17	,Training accuracy (MAE): -4.45588e+07	,Validation accuracy (MAE): -5.28982e+07	,Training accuracy (MRAE): 0.319912	,Validation accuracy (MRAE): 0.207581
Epoch: 132,	Training loss (MRSE): 0.560744	,Validation loss (MRSE): 0.70001	,Training loss (MSE): 1.10472e+17	,Validation loss (MSE): 1.3109e+17	,Training accuracy (MAE): -5.19379e+07	,Validation accuracy (MAE): -5.95896e+07	,Training accuracy (MRAE): 0.30562	,Validation accuracy (MRAE): 0.20398
Epoch: 134,	Training loss (MRSE): 0.604121	,Validation loss (MRSE): 0.714577	,Training loss (MSE): 6.79805e+16	,Validation loss (MSE): 1.09788e+17	,Training accuracy (MAE): -3.76338e+07	,Validation accuracy (MAE): -4.71243e+07	,Training accuracy (MRAE): 0.273901	,Validation accuracy (MRAE): 0.195417
Epoch: 136,	Training loss (MRSE): 0.548845	,Validation loss (MRSE): 0.719829	,Training loss (MSE): 8.80976e+16	,Validation loss (MSE): 1.32971e+17	,Training accuracy (MAE): -4.40092e+07	,Validation accuracy (MAE): -6.20524e+07	,Training accuracy (MRAE): 0.322076	,Validation accuracy (MRAE): 0.185825
Epoch: 138,	Training loss (MRSE): 0.542065	,Validation loss (MRSE): 0.72375	,Training loss (MSE): 6.85097e+16	,Validation loss (MSE): 1.23903e+17	,Training accuracy (MAE): -3.97257e+07	,Validation accuracy (MAE): -6.13858e+07	,Training accuracy (MRAE): 0.320297	,Validation accuracy (MRAE): 0.190316
Epoch: 140,	Training loss (MRSE): 0.508973	,Validation loss (MRSE): 0.707633	,Training loss (MSE): 7.11146e+16	,Validation loss (MSE): 1.16028e+17	,Training accuracy (MAE): -3.95665e+07	,Validation accuracy (MAE): -5.72455e+07	,Training accuracy (MRAE): 0.34148	,Validation accuracy (MRAE): 0.194677
Epoch: 142,	Training loss (MRSE): 0.486498	,Validation loss (MRSE): 0.659191	,Training loss (MSE): 7.25193e+16	,Validation loss (MSE): 1.07848e+17	,Training accuracy (MAE): -3.90594e+07	,Validation accuracy (MAE): -5.12408e+07	,Training accuracy (MRAE): 0.364328	,Validation accuracy (MRAE): 0.238994
Epoch: 144,	Training loss (MRSE): 0.481359	,Validation loss (MRSE): 0.713253	,Training loss (MSE): 6.83965e+16	,Validation loss (MSE): 1.05447e+17	,Training accuracy (MAE): -3.78382e+07	,Validation accuracy (MAE): -5.35092e+07	,Training accuracy (MRAE): 0.368809	,Validation accuracy (MRAE): 0.189075
Epoch: 146,	Training loss (MRSE): 0.497186	,Validation loss (MRSE): 0.700525	,Training loss (MSE): 6.09027e+16	,Validation loss (MSE): 1.11663e+17	,Training accuracy (MAE): -3.50846e+07	,Validation accuracy (MAE): -5.42208e+07	,Training accuracy (MRAE): 0.356376	,Validation accuracy (MRAE): 0.210702
Epoch: 148,	Training loss (MRSE): 0.592192	,Validation loss (MRSE): 0.740126	,Training loss (MSE): 6.51779e+16	,Validation loss (MSE): 8.46831e+16	,Training accuracy (MAE): -3.61366e+07	,Validation accuracy (MAE): -4.73795e+07	,Training accuracy (MRAE): 0.282702	,Validation accuracy (MRAE): 0.180936
Epoch: 150,	Training loss (MRSE): 0.51708	,Validation loss (MRSE): 0.706537	,Training loss (MSE): 5.99278e+16	,Validation loss (MSE): 1.10955e+17	,Training accuracy (MAE): -3.31415e+07	,Validation accuracy (MAE): -6.08257e+07	,Training accuracy (MRAE): 0.344944	,Validation accuracy (MRAE): 0.204946
Epoch: 152,	Training loss (MRSE): 0.582439	,Validation loss (MRSE): 0.744416	,Training loss (MSE): 6.9941e+16	,Validation loss (MSE): 1.05819e+17	,Training accuracy (MAE): -3.77445e+07	,Validation accuracy (MAE): -5.26491e+07	,Training accuracy (MRAE): 0.293043	,Validation accuracy (MRAE): 0.170686
Epoch: 154,	Training loss (MRSE): 0.639624	,Validation loss (MRSE): 0.742477	,Training loss (MSE): 6.41221e+16	,Validation loss (MSE): 9.82778e+16	,Training accuracy (MAE): -3.69504e+07	,Validation accuracy (MAE): -4.43203e+07	,Training accuracy (MRAE): 0.245865	,Validation accuracy (MRAE): 0.173463
Epoch: 156,	Training loss (MRSE): 0.569788	,Validation loss (MRSE): 0.701264	,Training loss (MSE): 6.15346e+16	,Validation loss (MSE): 1.15937e+17	,Training accuracy (MAE): -3.35117e+07	,Validation accuracy (MAE): -5.10234e+07	,Training accuracy (MRAE): 0.301323	,Validation accuracy (MRAE): 0.20481
Epoch: 158,	Training loss (MRSE): 0.605699	,Validation loss (MRSE): 0.727241	,Training loss (MSE): 6.91825e+16	,Validation loss (MSE): 1.17047e+17	,Training accuracy (MAE): -3.72557e+07	,Validation accuracy (MAE): -5.16102e+07	,Training accuracy (MRAE): 0.271211	,Validation accuracy (MRAE): 0.179063
Epoch: 160,	Training loss (MRSE): 0.563018	,Validation loss (MRSE): 0.698312	,Training loss (MSE): 6.85297e+16	,Validation loss (MSE): 1.23652e+17	,Training accuracy (MAE): -3.78575e+07	,Validation accuracy (MAE): -5.61175e+07	,Training accuracy (MRAE): 0.301082	,Validation accuracy (MRAE): 0.204471
Epoch: 162,	Training loss (MRSE): 0.522652	,Validation loss (MRSE): 0.677577	,Training loss (MSE): 6.2124e+16	,Validation loss (MSE): 1.14217e+17	,Training accuracy (MAE): -3.48518e+07	,Validation accuracy (MAE): -5.38286e+07	,Training accuracy (MRAE): 0.335758	,Validation accuracy (MRAE): 0.223614
Epoch: 164,	Training loss (MRSE): 0.564048	,Validation loss (MRSE): 0.700501	,Training loss (MSE): 6.34935e+16	,Validation loss (MSE): 1.05916e+17	,Training accuracy (MAE): -3.64257e+07	,Validation accuracy (MAE): -5.00366e+07	,Training accuracy (MRAE): 0.303699	,Validation accuracy (MRAE): 0.201179
Epoch: 166,	Training loss (MRSE): 0.530396	,Validation loss (MRSE): 0.708014	,Training loss (MSE): 6.44379e+16	,Validation loss (MSE): 1.12003e+17	,Training accuracy (MAE): -3.68609e+07	,Validation accuracy (MAE): -5.50966e+07	,Training accuracy (MRAE): 0.329679	,Validation accuracy (MRAE): 0.193051
